A0053,A0054,A0055,A0056,A0057,A0058,A0059,A0060,A0061,A0062,A0063,A0064,A0065,A0067,A0068,A0069,A0070,A0071,A0072,A0073,A0074,A0075,A0077,A0079,A0080,A0081,A0083,A0085,A0087,A0088,A0089,A0091,A0093,A0095,A0096,A0097,A0098,A0100,A0102,A0104,A0105,A0107,A0109,A0111,A0112,A0114,A0116,A0118,A0119,A0121,A0123,A0125,A0126,A0127,A0129,A0130,A0131,A0132,A0133,A0134,A0135,A0136,A0137,A0138,A0139,A0140,A0141,A0142,A0143,A0144,A0145,A0146,A0147,A0149,A0150,A0151,A0153,A0154,A0156,A0157,A0158,A0159,A0160,A0161,A0162,A0163,A0164,A0165,A0166,A0167,A0168,A0169,A0170,A0171,A0173,A0174,A0175,A0176,A0177,A0178,A0179,A0180,A0181,A0182,A0183,A0184,A0185,A0186,A0187,A0188,A0189,A0190,A0191,A0192,A0193,A0194,A0195,A0196,A0197,A0198,A0199,A0200,A0201,A0202,A0203,A0204,A0205,A0225,A0226,A0227,A0228,A0229,A0230,AGE_P,ENRK12UG,F_A0053,F_A0054,F_A0055,F_A0056,F_A0057,F_A0058,F_A0059,F_A0060,F_A0061,F_A0062,F_A0063,F_A0064,F_A0065,F_A0067,F_A0068,F_A0069,F_A0070,F_A0071,F_A0072,F_A0073,F_A0074,F_A0075,F_A0077,F_A0079,F_A0080,F_A0081,F_A0083,F_A0085,F_A0087,F_A0088,F_A0089,F_A0091,F_A0093,F_A0095,F_A0096,F_A0097,F_A0098,F_A0100,F_A0102,F_A0104,F_A0105,F_A0107,F_A0109,F_A0111,F_A0112,F_A0114,F_A0116,F_A0118,F_A0119,F_A0121,F_A0123,F_A0125,F_A0126,F_A0127,F_A0129,F_A0130,F_A0131,F_A0132,F_A0133,F_A0134,F_A0135,F_A0136,F_A0137,F_A0138,F_A0139,F_A0140,F_A0141,F_A0142,F_A0143,F_A0144,F_A0145,F_A0146,F_A0147,F_A0149,F_A0150,F_A0151,F_A0153,F_A0154,F_A0156,F_A0157,F_A0158,F_A0159,F_A0160,F_A0161,F_A0162,F_A0163,F_A0164,F_A0165,F_A0166,F_A0167,F_A0168,F_A0169,F_A0170,F_A0171,F_A0173,F_A0174,F_A0175,F_A0176,F_A0177,F_A0178,F_A0179,F_A0180,F_A0181,F_A0182,F_A0183,F_A0184,F_A0185,F_A0186,F_A0187,F_A0188,F_A0189,F_A0190,F_A0191,F_A0192,F_A0193,F_A0194,F_A0195,F_A0196,F_A0197,F_A0198,F_A0199,F_A0200,F_A0201,F_A0202,F_A0203,F_A0204,F_A0205,F_A0225,F_A0226,F_A0227,F_A0228,F_A0229,F_A0230,GL_ACDM,GL_GRW,GL_HMRL,GL_LITCY,GL_MRL,GL_SKL,GL_WRK,MINENR,MINTCH,NAIS_MEM,NUMTCH,PGMTYPE,PRNEXPER,RACETH_P,REGION,RELIG,SBKGD_P,SCHLEVEL,SDLQ_P,SECTOR,STU_TCH,SURVEY,TCHEXPER,TUITIN,URBANIC,AFNLWGT,AREPWT1,AREPWT10,AREPWT11,AREPWT12,AREPWT13,AREPWT14,AREPWT15,AREPWT16,AREPWT17,AREPWT18,AREPWT19,AREPWT2,AREPWT20,AREPWT21,AREPWT22,AREPWT23,AREPWT24,AREPWT25,AREPWT26,AREPWT27,AREPWT28,AREPWT29,AREPWT3,AREPWT30,AREPWT31,AREPWT32,AREPWT33,AREPWT34,AREPWT35,AREPWT36,AREPWT37,AREPWT38,AREPWT39,AREPWT4,AREPWT40,AREPWT41,AREPWT42,AREPWT43,AREPWT44,AREPWT45,AREPWT46,AREPWT47,AREPWT48,AREPWT49,AREPWT5,AREPWT50,AREPWT51,AREPWT52,AREPWT53,AREPWT54,AREPWT55,AREPWT56,AREPWT57,AREPWT58,AREPWT59,AREPWT6,AREPWT60,AREPWT61,AREPWT62,AREPWT63,AREPWT64,AREPWT65,AREPWT66,AREPWT67,AREPWT68,AREPWT69,AREPWT7,AREPWT70,AREPWT71,AREPWT72,AREPWT73,AREPWT74,AREPWT75,AREPWT76,AREPWT77,AREPWT78,AREPWT79,AREPWT8,AREPWT80,AREPWT81,AREPWT82,AREPWT83,AREPWT84,AREPWT85,AREPWT86,AREPWT87,AREPWT88,AREPWT9,CNTLNUM,SCHCNTL
2,11,3,0,-8,2,2,1,2,2,1,2,1,2,5,4,3,3,2,4,3,4,4,5,1,4,3,5,5,1,5,3,1,5,1,3,1,1,1,5,1,1,1,5,1,1,5,5,3,1,5,5,1,1,1,2,3,3,4,4,3,4,4,3,3,4,4,4,4,4,4,3,4,3,4,5,3,4,4,3,3,4,3,3,3,3,1,1,2,1,1,1,2,2,75,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,1,1,2,2,2,1,1,2,3,4,2,4,2,2,4,4,4,3,5,1,4,-8,2,4,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,1,1,-9,2,-9,-9,13,4,3,1,15,3,19,B,-9,6,3,-9,2,9.6606,8.7169,7.6696,14.3215,7.8466,9.9412,6.7521,6.7629,7.0729,16.6906,8.7889,9.0662,8.4347,8.2436,6.4253,7.6101,6.8825,0,9.1743,17.7398,9.0952,12.6727,7.0262,4.8944,9.2185,15.7158,14.2865,15.9523,3.9831,6.8834,15.5094,10.5454,13.287,13.8259,11.1697,18,21.8618,8.6635,8.2694,10.4318,8.2591,7.5346,0,15.6711,10.8782,8.9014,8.2142,6.542,15.8597,12.2257,0,7.9906,18.9835,8.9578,0,12.0367,0,0,10.2506,8.0121,6.6752,15.5786,5.0885,16.9952,15.5745,10.1138,0,0,5.1629,0,12.5409,13.7247,7.1575,16.8096,11.1978,0,16.0611,4.7603,4.9502,0,7.096,16.0191,6.534,5.6859,8.8734,0,8.4062,8.7035,4.7006,106203,111149
25,0,0,0,-8,2,2,1,2,2,2,2,1,9,7,4,3,3,3,4,3,3,5,4,3,3,1,5,4,3,3,1,4,5,4,3,4,1,3,5,3,1,3,5,3,1,4,5,4,1,4,5,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,2,5,5,5,4,5,4,4,3,3,3,4,4,1,1,1,1,1,2,1,1,100,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,3,2,3,2,2,4,4,4,3,2,2,3,-8,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,2,1,2,5,2,3,1,25,3,3,1,14,1,20,B,17.38,6,0,2,1,12.2919,0,0,0,24.6817,12.3211,12.3043,13.4064,24.7038,0,9.9598,31.574,10.4373,28.9449,14.371,0,10.2656,25.1452,0,23.5421,0,25.3932,0,0,0,22.0832,15.7619,33.994,23.7302,0,24.0439,9.8065,16.7174,16.5556,13.6418,21.8845,9.4582,0,13.938,0,0,11.9553,0,15.5376,0,27.0307,0,10.6955,20.9124,23.5315,16.8437,14.703,19.8402,13.9046,13.7604,12.0794,10.4867,0,23.1922,15.0294,13.6464,11.6832,19.4537,0,21.8586,0,0,11.0657,11.0804,12.991,13.1038,13.1976,12.0911,13.7225,0,23.0013,0,13.958,0,10.5466,14.9115,14.1457,9.4085,27.5285,0,0,0,10.3853,14.979,104122,103186
11,0,4,11,1,1,2,2,2,2,1,1,1,9,4,2,3,4,2,2,3,3,3,5,1,4,3,3,5,1,5,2,2,5,1,4,2,2,3,5,1,3,2,5,2,2,4,5,5,3,5,5,1,3,2,2,1,4,3,4,3,3,4,1,1,4,2,4,2,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,2,1,1,1,1,1,1,2,2,75,1,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,3,3,2,3,3,4,3,4,1,4,-8,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,1,1,4,2,3,1,11,4,3,1,16,2,16,B,13.71,6,15,3,1,5.5649,4.6561,10.8274,0,5.4794,0,3.3658,0,8.569,5.1473,8.004,9.3579,0,0,12.5393,3.4524,6.9203,0,4.8159,8.7308,5.8567,13.7697,4.7531,5.0245,0,11.2919,5.1598,4.3513,8.0049,4.9323,4.1559,4.1555,0,0,7.4771,10.4571,0,3.6316,11.9256,3.7494,8.3138,16.4468,5.7303,8.7624,4.0779,10.2212,7.3298,7.3811,4.3607,7.8786,4.7751,3.3713,4.7268,3.682,4.2248,3.2173,7.1272,8.7342,5.7901,5.1996,3.3571,8.6012,8.2109,3.2388,11.2361,3.6575,8.1117,11.0174,7.8911,9.5267,15.2744,10.0579,8.8585,3.365,5.5715,5.7675,3.5114,13.2176,0,7.0111,6.2842,0,3.8603,13.6259,3.7988,4.1649,8.8368,10.628,0,102708,108776
11,22,3,18,2,2,2,2,2,2,2,1,1,4,2,9,3,3,2,2,3,3,5,5,5,5,4,5,5,5,4,3,5,5,5,5,4,3,5,5,3,3,5,5,3,2,5,5,5,4,5,5,4,2,2,3,4,4,4,3,3,3,4,4,4,4,3,4,3,3,2,3,4,5,5,5,5,4,5,3,4,5,3,3,5,3,1,1,2,1,1,1,1,2,95,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,2,1,2,3,-8,2,5,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,1,1,-9,2,-9,-9,33,3,3,1,12,1,16,B,-9,6,21,-9,2,8.7147,7.6833,0,7.9705,7.3974,23.3145,8.2302,17.3231,7.3395,11.7494,16.225,8.2506,7.6224,15.0507,0,18.9632,8.4695,0,7.4297,16.7095,15.4736,9.7419,9.1382,7.6374,19.0463,8.6367,7.1475,0,0,8.0534,0,0,9.5984,7.8861,8.1872,0,13.4888,7.2175,7.3888,8.3022,0,16.133,8.1564,14.4049,0,10.0725,9.564,7.9525,0,0,7.5902,8.1467,15.9153,7.2404,16.1535,7.9672,7.3228,11.5243,14.1996,14.6236,17.9342,7.7159,0,8.4132,0,0,0,0,7.4859,8.8335,9.384,8.2023,0,7.5624,7.823,8.5533,8.5499,8.556,7.4933,15.5119,0,0,0,7.72,16.6629,8.06,7.5455,10.1766,0,102538,112060
13,0,10,0,-8,2,2,2,2,2,2,2,2,9,2,1,3,3,3,2,3,3,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,4,5,4,2,4,5,3,2,5,4,4,3,3,5,3,4,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,5,4,4,4,4,4,3,3,3,4,1,1,1,1,1,1,2,1,100,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,3,2,4,3,2,4,2,4,4,3,2,2,4,-8,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,2,2,1,2,3,1,13,4,3,1,15,1,19,B,13.09,6,10,3,1,13.3985,18.7867,20.1301,35.2683,0,10.9491,10.2606,11.6794,0,25.1204,12.9948,0,18.5214,0,12.7237,34.1988,15.6251,0,19.6739,0,23.2964,0,33.8722,17.5045,26.7327,0,9.3989,0,0,19.2436,0,16.1522,10.7335,9.9853,8.6758,0,14.5264,23.5732,13.0735,19.9557,25.8017,16.2518,20.9907,18.3362,28.1748,0,22.2183,16.7655,0,0,15.8559,9.3069,0,10.4464,15.9277,15.9872,11.3923,37.4564,0,10.2268,11.0312,13.3872,0,24.1423,0,24.8815,27.4456,10.139,12.3434,16.3912,9.0873,9.0904,13.7481,14.2462,24.156,0,22.3119,9.3659,23.4637,15.8607,15.4882,9.3013,10.6712,0,20.7253,17.4634,28.4062,13.3357,11.4996,103627,111386
2,4,21,6,2,1,1,1,2,2,1,1,1,1,2,4,1,3,3,2,3,3,3,5,3,4,1,3,5,5,5,1,1,5,5,3,1,1,1,5,1,1,1,5,1,1,5,5,4,1,5,5,1,1,1,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,5,4,5,3,4,4,3,2,3,3,2,2,1,1,1,1,1,2,1,1,100,1,2,1,2,2,2,1,1,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,3,3,4,3,3,3,3,3,4,3,4,1,4,-8,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,2,1,2,2,1,1,2,2,3,1,6,4,3,3,15,3,19,B,10.68,6,27,2,2,8.0907,20.8873,6.1609,6.5104,0,11.915,11.0072,9.1286,5.9385,8.1505,11.523,7.1247,6.6134,10.7566,13.2503,12.1426,6.5359,15.5641,21.5932,7.9893,6.3241,13.1489,14.1326,11.0428,0,11.4753,10.997,0,7.3166,12.634,7.503,13.811,6.9006,14.5089,8.406,0,7.7058,12.7017,13.3378,0,27.5209,6.4692,6.3794,6.6688,0,0,6.9656,6.5212,0,8.2199,12.7643,6.7826,13.6708,32.7175,15.0958,14.1643,8.3293,21.38,9.6344,6.075,8.6002,6.6577,18.5812,18.453,6.3834,18.0649,9.9545,0,0,16.0912,8.7468,12.8439,12.0554,13.8663,7.2733,13.5554,10.2012,12.8058,16.0348,10.1853,7.2951,0,0,14.3286,0,15.6543,5.8916,28.1813,16.2873,105831,110118
0,23,10,3,2,1,2,1,2,2,2,1,1,1,2,9,3,3,3,2,3,3,4,5,4,4,4,4,5,4,4,3,4,5,1,5,2,4,4,5,2,1,5,5,2,2,4,4,4,4,5,4,4,3,3,4,3,3,4,4,4,3,4,4,4,4,3,4,2,2,3,2,2,3,4,4,4,4,5,4,4,5,3,4,4,3,1,2,2,1,1,1,2,2,90,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,4,2,2,3,2,3,2,4,4,4,3,1,3,-8,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,2,2,5,2,2,1,23,3,3,2,9,1,18,B,15.29,6,13,2,1,6.5487,12.5675,0,0,0,0,8.0342,0,0,0,0,8.8828,8.8829,0,8.2336,9.9313,9.8157,10.2506,8.0538,0,10.5626,8.574,8.6055,0,11.3521,16.3572,10.07,0,0,8.4614,0,12.5699,23.2234,10.5742,0,9.6457,0,10.7299,13.3028,0,10.3986,0,10.8863,8.024,0,0,0,21.7183,9.2746,10.4331,21.6648,8.6041,0,0,8.053,8.5493,16.3648,9.9448,9.9003,0,16.8642,0,8.5203,11.2663,0,9.1027,8.5724,9.3791,19.6968,9.6223,0,8.3597,8.1006,18.1334,0,8.2345,7.7821,9.487,10.3071,0,0,0,0,11.8358,0,9.5337,7.7346,0,7.8746,109587,108832
2,0,0,2,1,2,2,2,2,2,2,2,1,9,7,1,3,3,1,3,4,1,1,5,4,5,4,1,5,5,5,3,1,5,4,5,3,3,1,4,4,2,1,4,3,1,1,5,5,1,1,5,2,2,2,1,3,3,3,3,3,3,3,4,4,4,3,3,1,1,3,2,4,5,5,5,5,5,5,5,3,5,5,5,4,1,1,1,1,1,1,1,1,2,75,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,1,1,2,2,2,2,2,1,3,4,4,4,2,1,4,4,4,6,1,2,4,-8,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,2,2,1,4,2,2,1,2,4,3,2,10,3,16,B,10.8,6,2,1,2,28.2069,0,18.6933,24.6305,41.4741,32.9887,14.4843,15.3608,21.5608,55.17,0,42.1889,19.194,0,0,34.087,18.2614,16.6312,14.4658,27.0712,63.11,0,17.301,34.8554,46.1589,17.7224,21.9023,84.7723,44.5095,52.5557,27.9138,0,35.1477,0,26.6876,66.815,15.5977,0,0,48.3836,0,22.0624,24.2085,17.8049,77.5729,69.4228,24.2662,19.1338,39.8072,27.9196,17.1907,26.2152,52.3738,0,21.6272,19.2172,52.6797,16.4542,18.2231,17.7901,46.6575,27.4183,0,0,19.1412,26.9035,14.0522,51.3117,30.8295,0,16.7873,0,27.1759,0,53.5285,23.0432,15.1946,16.6437,18.5137,27.676,16.3063,38.1604,54.9659,0,39.133,24.2644,34.391,0,16.6568,108462,104496
3,0,0,3,1,2,2,2,2,2,2,1,1,9,7,2,3,3,4,3,3,4,3,4,3,5,4,5,5,5,5,3,3,5,4,4,4,3,4,5,4,2,5,5,3,3,4,5,4,2,4,5,1,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,3,3,4,3,4,4,3,3,4,4,2,-8,-8,-8,-8,-8,-8,-8,100,2,2,2,2,2,2,2,1,2,1,1,1,2,1,1,1,2,2,2,2,2,2,1,3,4,2,2,3,3,2,2,4,3,1,1,4,-8,2,3,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,2,2,1,2,2,3,1,3,4,3,2,14,3,20,B,7.6,6,3,1,2,15.1778,11.9673,9.3767,14.2326,0,28.1978,38.6464,20.977,8.8926,23.5697,9.8685,9.137,27.8918,15.1518,10.3511,12.4092,10.936,0,22.5319,22.3256,0,11.8451,22.9661,10.5941,22.1956,21.1007,10.1303,0,15.7947,33.2381,10.8535,12.5588,23.2423,22.3728,9.2954,0,16.7064,14.144,21.294,17.5859,0,0,18.4785,30.4052,21.3157,29.7816,12.8613,0,14.6742,19.847,14.0402,13.7196,9.8395,10.7237,18.8939,10.289,9.329,12.4673,0,29.5428,0,31.5187,30.6648,11.4118,11.9,0,10.5685,15.3194,12.4412,11.1003,20.4148,12.2993,0,12.089,23.1195,12.7431,17.2071,20.9265,0,25.3339,16.3311,14.0257,14.3694,11.2173,11.7435,28.8879,17.8671,0,9.623,104664,102623
4,0,13,4,1,2,2,2,2,2,2,2,2,2,9,1,3,2,3,3,3,4,2,5,2,5,4,2,5,2,5,4,2,5,2,5,2,4,2,5,4,4,2,5,4,3,4,5,5,3,5,4,1,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,1,1,1,1,1,1,1,10,2,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,2,1,1,2,2,2,2,2,2,2,4,3,3,2,4,4,2,3,2,3,-8,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,2,2,5,2,1,1,4,3,3,2,16,1,20,B,10,6,17,1,3,30.7838,41.6067,0,48.6165,77.6419,38.1282,38.5788,40.0409,42.3855,49.8315,63.6285,40.8766,32.5029,0,0,36.5964,79.3507,43.2999,34.709,0,43.0398,39.429,0,41.1324,34.6916,41.7591,64.1481,0,32.8787,35.7058,0,47.4445,0,40.1289,67.8373,69.5826,36.6559,40.7396,0,0,0,42.4589,0,87.7906,33.9457,0,44.9789,36.9976,44.5514,0,70.4485,77.2017,36.9847,0,0,77.7182,63.1598,87.8247,0,0,71.2953,38.1594,42.3934,0,36.3028,41.2516,39.1367,71.6727,0,39.0187,46.5364,0,0,43.9709,41.7604,0,35.3167,45.4768,0,0,0,0,37.6448,39.5299,41.2719,36.0516,48.9307,40.0116,0,108818,104786
