AGE_T,AGE_TT,ASSIGN,ASSIGN_S,COLBARG,ENRK12UG,F_F0050,F_F0051,F_F0053,F_F0054,F_F0055,F_F0056,F_F0057,F_F0058,F_F0059,F_F0060,F_F0061,F_F0062,F_F0063,F_F0064,F_F0065,F_F0066,F_F0067,F_F0068,F_F0069,F_F0070,F_F0071,F_F0072,F_F0073,F_F0074,F_F0075,F_F0076,F_F0077,F_F0078,F_F0079,F_F0080,F_F0081,F_F0082,F_F0083,F_F0084,F_F0085,F_F0086,F_F0087,F_F0088,F_F0089,F_F0090,F_F0091,F_F0092,F_F0093,F_F0094,F_F0095,F_F0096,F_F0097,F_F0098,F_F0099,F_F0100,F_F0101,F_F0102,F_F0103,F_F0104,F_F0105,F_F0106,F_F0107,F_F0108,F_F0109,F_F0110,F_F0111,F_F0112,F_F0113,F_F0114,F_F0115,F_F0116,F_F0117,F_F0118,F_F0119,F_F0120,F_F0121,F_F0122,F_F0123,F_F0124,F_F0125,F_F0126,F_F0127,F_F0128,F_F0129,F_F0130,F_F0131,F_F0132,F_F0133,F_F0134,F_F0135,F_F0136,F_F0137,F_F0138,F_F0139,F_F0140,F_F0141,F_F0142,F_F0143,F_F0144,F_F0145,F_F0146,F_F0147,F_F0148,F_F0149,F_F0150,F_F0151,F_F0152,F_F0153,F_F0154,F_F0156,F_F0157,F_F0159,F_F0160,F_F0161,F_F0162,F_F0163,F_F0164,F_F0165,F_F0166,F_F0167,F_F0169,F_F0170,F_F0171,F_F0172,F_F0173,F_F0174,F_F0175,F_F0176,F_F0177,F_F0178,F_F0179,F_F0180,F_F0181,F_F0182,F_F0183,F_F0184,F_F0185,F_F0186,F_F0187,F_F0188,F_F0194,F_F0195,F_F0196,F_F0197,F0050,F0051,F0053,F0054,F0055,F0056,F0057,F0058,F0059,F0060,F0061,F0062,F0063,F0064,F0065,F0066,F0067,F0068,F0069,F0070,F0071,F0072,F0073,F0074,F0075,F0076,F0077,F0078,F0079,F0080,F0081,F0082,F0083,F0084,F0085,F0086,F0087,F0088,F0089,F0090,F0091,F0092,F0093,F0094,F0095,F0096,F0097,F0098,F0099,F0100,F0101,F0102,F0103,F0104,F0105,F0106,F0107,F0108,F0109,F0110,F0111,F0112,F0113,F0114,F0115,F0116,F0117,F0118,F0119,F0120,F0121,F0122,F0123,F0124,F0125,F0126,F0127,F0128,F0129,F0130,F0131,F0132,F0133,F0134,F0135,F0136,F0137,F0138,F0139,F0140,F0141,F0142,F0143,F0144,F0145,F0146,F0147,F0148,F0149,F0150,F0151,F0152,F0153,F0154,F0156,F0157,F0159,F0160,F0161,F0162,F0163,F0164,F0165,F0166,F0167,F0169,F0170,F0171,F0172,F0173,F0174,F0175,F0176,F0177,F0178,F0179,F0180,F0181,F0182,F0183,F0184,F0185,F0186,F0187,F0188,F0194,F0195,F0196,F0197,FTPT_S,GENDER,HIDEGREE,JOBDES_S,MINENR_S,MINTCH_S,NEWTCH,PD_CPTR,PD_DISC,PD_MTHD,PD_STAS,PD_STDS,PD_SUBJ,PGMTYPE,PLANS_S,RACE,RACETH_T,REGION,REGION_T,RELIG,SCHLEVEL,SECTOR,STATUS,SURVEY,TOTEXP_T,TOTEXPER,UNION,URBANIC,YRTCHSC,CNTLNUM,SCHCNTL,TFRPWT1,TFRPWT10,TFRPWT11,TFRPWT12,TFRPWT13,TFRPWT14,TFRPWT15,TFRPWT16,TFRPWT17,TFRPWT18,TFRPWT19,TFRPWT2,TFRPWT20,TFRPWT21,TFRPWT22,TFRPWT23,TFRPWT24,TFRPWT25,TFRPWT26,TFRPWT27,TFRPWT28,TFRPWT29,TFRPWT3,TFRPWT30,TFRPWT31,TFRPWT32,TFRPWT33,TFRPWT34,TFRPWT35,TFRPWT36,TFRPWT37,TFRPWT38,TFRPWT39,TFRPWT4,TFRPWT40,TFRPWT41,TFRPWT42,TFRPWT43,TFRPWT44,TFRPWT45,TFRPWT46,TFRPWT47,TFRPWT48,TFRPWT49,TFRPWT5,TFRPWT50,TFRPWT51,TFRPWT52,TFRPWT53,TFRPWT54,TFRPWT55,TFRPWT56,TFRPWT57,TFRPWT58,TFRPWT59,TFRPWT6,TFRPWT60,TFRPWT61,TFRPWT62,TFRPWT63,TFRPWT64,TFRPWT65,TFRPWT66,TFRPWT67,TFRPWT68,TFRPWT69,TFRPWT7,TFRPWT70,TFRPWT71,TFRPWT72,TFRPWT73,TFRPWT74,TFRPWT75,TFRPWT76,TFRPWT77,TFRPWT78,TFRPWT79,TFRPWT8,TFRPWT80,TFRPWT81,TFRPWT82,TFRPWT83,TFRPWT84,TFRPWT85,TFRPWT86,TFRPWT87,TFRPWT88,TFRPWT9,TFSFINWT
4,4,4,11,-8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-8,6,-8,-8,-8,-8,-8,-8,9,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,2,-8,-8,4,4,4,1,5,5,5,1,5,5,1,4,2,5,1,5,5,1,2,5,5,5,1,5,2,2,1,5,5,5,2,5,4,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,4,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,3,5,4,5,5,5,1,3,2,1,1,-8,2,4,1,1,0,1,1,2,-8,1,2,2,2,1,1,2,1,1,1,2,1,4,1,3,3,3,B,L,TFS2,38,38,-8,2,33,106008,100011,226.3092,86.1962,95.3384,0,79.3041,173.0427,96.6653,0,111.1631,94.8504,104.7363,192.7554,88.347,0,95.1373,200.1216,0,104.8316,109.1838,110.8617,82.4305,95.869,0,103.1504,219.8746,0,0,99.0295,202.4257,197.2017,101.0716,91.9689,154.3735,81.383,0,114.411,80.7483,0,79.4814,0,0,96.358,84.0264,109.2513,0,0,96.7942,87.3032,99.06,0,75.901,107.1869,0,202.1817,103.3638,0,114.6996,105.6711,307.9737,102.639,0,0,188.2351,99.4659,101.471,207.3126,179.0499,189.9184,94.0551,224.0643,101.178,95.2744,106.4061,110.0329,0,107.1872,163.5716,0,107.8195,96.1154,90.8554,97.6086,95.4421,93.2851,0,92.3792,199.1361,81.2687,91.1253
3,3,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-8,9,-8,-8,-8,-8,-8,-8,1,5,1,5,1,1,1,5,1,5,5,5,5,5,5,1,5,3,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,5,5,1,1,4,4,1,1,1,1,5,4,5,1,5,1,1,5,5,5,5,3,5,1,1,5,5,2,1,1,1,1,1,2,2,4,1,1,1,1,1,2,2,2,4,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,3,-8,-8,1,-8,-8,-8,-8,3,2,5,5,5,5,1,2,2,1,2,3,2,3,1,4,0,1,2,2,-8,2,4,2,1,1,5,1,5,5,1,4,3,1,4,4,-8,1,A,L,TFS2,19,19,1,3,20,143668,100019,10.0715,8.317,17.0933,0,10.3032,0,12.5613,9.3666,0,9.0285,9.001,0,10.6046,0,0,0,10.5384,0,0,8.9203,18.9146,0,0,10.6149,9.8379,9.0287,9.7957,9.2078,9.8054,11.5008,24.8622,0,17.0601,8.5027,10.1436,0,8.5725,0,9.2459,9.5669,8.8261,0,0,0,10.0387,0,11.6859,8.9443,0,0,0,10.4343,11.492,9.9263,9.1752,0,0,0,8.7121,0,0,0,8.6881,9.4869,13.0288,9.7363,8.0272,11.4995,0,0,0,9.4729,0,9.6516,7.7523,8.4262,9.692,12.4809,11.6043,8.6602,0,20.0762,9.7611,0,8.4131,20.9141,0,9.4574,6.0961
4,4,1,5,-8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-8,9,-8,-8,-8,-8,-8,-8,1,1,1,1,2,1,1,5,2,1,4,1,1,1,1,1,1,3,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,1,5,1,5,5,5,1,5,5,1,3,3,4,3,5,5,4,3,5,5,3,5,4,4,1,3,3,3,4,4,5,5,2,2,4,5,4,5,4,3,3,2,4,4,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,1,4,4,5,1,1,1,2,2,1,1,-8,2,5,1,0,0,1,2,1,-8,1,1,2,2,2,3,2,4,5,2,5,1,4,3,3,3,1,B,L,TFS2,10,10,-8,1,10,105483,100023,48.5253,64.4816,61.7799,122.3928,0,58.4795,61.6068,68.0015,72.6049,0,133.988,68.3491,57.1862,68.1213,71.1121,0,58.9821,82.6289,51.2335,0,114.135,60.7667,49.6208,48.2282,78.8129,61.0538,72.5537,65.7608,46.7012,53.1739,0,87.8718,61.0348,76.046,0,73.9378,0,54.8793,0,98.3983,51.3442,0,59.3742,51.1846,0,56.8671,58.8888,111.1706,119.7637,0,77.1192,0,105.6225,115.3852,147.5036,163.6187,129.6074,44.8076,58.2925,0,84.6953,153.3159,132.4386,59.908,125.8014,128.5593,44.9997,0,51.7946,104.8874,119.0034,70.6358,46.5417,56.2096,87.2005,61.7059,61.588,59.9719,0,0,82.7387,0,66.5027,0,52.4085,164.5067,64.4092,66.4386,56.6733
1,2,2,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-8,3,1,5,1,1,2,3,5,1,1,1,1,1,1,3,4,4,1,4,1,4,3,1,1,1,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,4,4,4,3,5,5,5,5,4,5,4,2,3,4,4,2,5,4,4,2,3,1,3,4,3,3,3,3,3,4,4,2,2,2,2,1,2,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,2,1,1,1,3,3,3,3,3,1,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,3,-8,-8,-8,-8,1,-8,-8,3,3,2,2,1,2,1,5,4,1,2,3,2,3,1,4,2,1,1,2,2,1,2,2,1,1,2,2,2,2,1,4,1,4,2,2,-8,2,A,L,TFS2,4,4,1,2,4,147352,100029,0,0,91.2582,50.9218,0,51.7973,44.2654,38.6653,73.2631,47.2223,0,0,45.1147,47.4217,54.9015,0,67.6137,0,48.4689,107.621,0,55.4179,72.3124,43.2705,100.5809,0,46.6619,57.5317,0,0,90.5814,51.0572,45.259,31.4837,0,0,38.151,51.2406,89.3615,47.3242,47.3085,109.3728,0,0,117.6302,0,45.1761,53.1742,51.7846,41.3659,34.4698,42.1617,96.6388,66.4567,0,0,88.6572,61.3153,61.6236,0,39.4353,64.3152,0,89.2736,100.4398,33.4141,116.9989,0,50.063,32.1722,40.4872,46.0103,50.3259,0,47.9528,43.0215,0,0,126.1483,92.6044,42.7727,50.5961,58.1374,45.6298,51.9398,0,0,44.2457,35.8544
4,4,1,5,-8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-8,1,14,1,1,1,3,2,4,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,4,5,4,5,5,4,1,1,5,2,1,3,4,2,5,5,2,3,5,5,5,1,5,4,2,1,3,4,4,1,5,5,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,1,3,3,2,2,2,3,1,2,3,3,3,1,3,3,1,2000,3,1,1,-8,1,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,2,-8,-8,-8,-8,-8,-8,-8,-8,1,2,1,2,5,1,1,0,1,2,3,1,1,1,2,3,1,4,2,3,5,1,1,1,4,3,3,2,1,B,L,TFS2,17,17,-8,1,9,113038,100034,17.8343,5.352,25.6612,7.7748,12.6256,15.9657,7.5098,18.906,28.198,10.8412,24.2906,18.0506,20.1126,21.8371,27.4239,21.9476,10.7576,38.2119,15.8965,18.5011,13.7999,19.5345,14.6591,21.6671,25.4372,29.4479,26.8539,15.3663,11.8106,7.8829,19.7385,17.4794,23.1418,19.9889,30.1036,30.5295,14.3652,26.1192,16.2054,11.4155,13.6033,14.5009,12.8397,22.1079,14.4369,17.4187,19.6363,24.0209,22.6794,6.8676,24.1284,19.983,13.516,11.9917,30.6606,24.1845,17.0344,11.5388,12.6905,23.1705,17.4724,23.7524,17.311,8.4586,14.5519,9.3404,8.4201,17.5513,16.108,11.6172,19.9029,21.4242,14.7655,14.6471,16.5914,12.5263,17.2725,16.6518,13.7161,22.343,26.9919,14.4302,15.3849,15.0185,13.5066,23.9362,9.2915,12.328,15.9947
2,3,2,8,-8,1,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-8,1,14,3,4,1,1,3,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,4,1,1,3,4,4,4,5,2,1,2,2,1,1,3,4,2,4,4,2,2,2,2,2,4,4,3,1,1,1,1,2,2,2,2,1,1,3,1,1,2,1,1,1,1,1,2,2,2,2,3,3,3,3,1,3,2,3,2,2,3,1,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,3,1,1,1,1,1,1,5,4,1,2,3,2,1,3,1,0,1,1,3,-8,1,1,1,1,1,3,1,1,1,1,3,1,4,2,2,2,3,B,L,TFS2,1,1,-8,2,1,103787,100041,0,124.6634,254.5609,142.5187,0,0,155.5757,159.2106,102.1294,106.5738,298.9878,175.8308,0,0,0,140.5776,150.4368,259.9147,119.4195,110.5773,140.1911,0,269.4526,0,268.7053,103.0188,157.9717,0,124.953,156.1227,0,0,134.2793,127.1303,114.4287,257.176,140.0904,0,122.2061,115.5475,132.0051,129.5672,0,104.4884,138.4243,116.3708,253.9033,117.233,0,0,365.0437,0,0,180.3056,0,0,129.6757,123.2788,274.9274,113.196,142.5634,127.0115,233.0237,164.9819,363.4937,338.6279,98.9222,0,0,183.9945,352.0578,0,0,141.0247,145.1344,242.0974,0,154.2696,149.4344,0,150.1963,0,257.6972,258.3571,0,141.1146,132.5992,108.2104,106.1636
4,4,8,13,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,-8,1,14,3,3,1,3,1,4,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,5,5,1,4,4,5,1,5,5,2,2,1,4,1,5,5,1,1,5,5,5,1,5,5,1,1,5,5,5,5,5,5,2,2,4,4,4,4,4,4,4,2,4,1,2,3,3,3,3,3,2,2,2,2,3,2,3,3,3,3,3,1,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,2,-8,-8,-8,-8,-8,-8,-8,-8,1,2,1,2,6,1,0,0,1,2,3,-8,2,3,2,5,1,2,4,5,5,3,1,2,3,2,2,-8,2,A,L,TFS2,20,20,1,1,8,117838,100042,0,0,0,50.7528,151.4467,57.265,66.6468,150.1414,55.6215,101.7932,48.0616,0,0,45.8821,102.9633,88.0345,0,0,0,50.1653,75.3865,0,0,0,65.9866,111.8376,0,0,0,61.7587,142.8759,0,47.9039,67.8617,54.6318,50.4848,102.6145,0,0,0,44.413,67.7113,93.7404,53.6639,72.5462,74.7445,63.6914,0,60.0543,48.5178,100.4826,76.4898,129.8787,0,51.014,0,136.8069,0,0,64.1128,100.5929,48.9293,59.6569,0,35.6303,0,0,0,48.9114,74.0152,42.9551,79.4479,0,0,0,70.4572,56.7896,141.1551,142.7046,55.1504,0,61.3655,73.8386,0,0,74.5527,0,159.9057,40.4297
4,4,2,10,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-8,1,14,1,3,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,2,-8,-8,5,5,5,1,5,5,5,1,5,5,1,1,5,5,1,5,5,1,1,5,5,5,1,5,5,1,1,5,5,5,5,5,5,2,2,1,5,5,5,5,5,5,5,5,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,1,1,1,1,5,4,1,1,-8,2,6,1,0,0,1,1,5,-8,2,3,1,2,2,3,2,3,5,3,1,1,4,2,2,-8,2,A,L,TFS2,2,2,2,1,1,142164,100042,0,0,0,85.3274,201.6473,56.585,86.1328,121.7499,48.355,105.344,62.9311,0,0,64.1321,127.3344,130.2497,0,0,0,66.5719,87.7507,0,0,0,94.8179,148.0125,0,0,0,51.2315,114.4017,0,69.7629,94.9152,67.937,67.5956,107.4672,0,0,0,42.5559,62.8898,133.8775,69.3691,107.319,101.96,54.1027,0,76.9742,82.0462,101.0244,110.1293,178.4162,0,47.4537,0,172.1443,0,0,53.0541,119.751,61.1309,56.8436,0,52.5423,0,0,0,68.2378,71.2652,39.9574,92.925,0,0,0,80.4443,55.7982,181.3253,165.0021,49.4272,0,83.6646,72.8452,0,0,74.1867,0,126.4293,50.4441
3,3,9,13,-8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-8,3,14,2,1,1,1,1,5,1,1,2,1,1,1,2,1,5,1,3,1,2,1,1,1,4,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,2,4,4,5,5,5,4,2,3,3,4,4,4,2,4,3,2,3,4,2,4,4,2,3,2,2,2,2,2,4,2,2,2,2,1,2,3,3,3,2,3,4,2,3,2,2,2,3,3,3,2,2,2,2,3,2,2,2,2,2,1,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,2,-8,-8,-8,-8,-8,-8,-8,-8,1,2,3,2,2,3,0,0,2,1,4,2,1,1,2,1,1,1,1,5,5,1,4,1,4,3,3,1,2,B,L,TFS2,5,5,-8,1,1,146653,100045,25.8453,0,82.1606,49.8878,95.6741,93.1047,26.0168,64.162,27.9821,0,59.7578,33.5194,80.9457,28.6785,67.6286,63.6792,71.5516,29.3941,31.4369,38.5494,60.105,0,0,33.0271,0,31.2199,0,61.5777,67.9108,34.8042,68.4143,67.8158,60.9621,30.1518,76.2371,69.9224,30.9836,62.561,28.0886,98.4163,80.2443,32.1073,0,76.7761,57.3172,23.7705,53.6589,29.9381,60.9554,0,0,30.7725,90.6832,35.7607,0,58.2028,65.3338,39.8105,26.8194,0,44.8271,57.4128,68.16,71.8027,0,39.5616,0,35.3614,54.9404,68.0665,0,0,60.272,75.8783,39.0369,113.989,30.6929,71.2934,0,35.0205,27.0638,101.5788,56.1239,61.8391,33.6001,32.8381,33.5468,0,41.8882
3,3,2,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-8,3,7,2,1,1,3,1,5,1,1,1,1,1,1,1,5,5,1,5,1,1,1,1,1,5,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,3,5,1,5,5,5,1,5,5,1,1,5,5,2,5,5,1,5,5,5,5,1,5,5,1,5,1,5,5,5,5,5,2,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,3,1,1,-8,-8,1,-8,-8,2,-8,-8,-8,-8,-8,-8,-8,-8,1,1,-8,2,4,2,4,0,1,2,2,2,2,2,2,3,4,5,3,5,5,1,1,1,4,3,3,-8,1,A,L,TFS2,16,16,2,2,3,141414,100053,0,25.0119,29.3771,0,36.8264,0,42.9475,0,0,25.5467,32.7022,31.2234,21.5103,24.7503,0,0,28.1708,0,0,46.5593,30.6568,42.4121,0,0,33.0664,0,26.8672,0,44.0215,0,24.4269,48.3757,30.4897,0,0,27.7356,0,27.1833,26.8323,41.2303,0,32.4533,0,0,36.8712,30.7767,34.2146,0,34.0498,0,24.2476,36.8275,26.7205,0,36.5522,27.8166,26.9946,0,0,23.5899,17.4929,24.595,22.4245,0,27.5936,0,25.2884,47.0467,0,0,0,30.5681,0,0,35.9919,44.7533,0,52.0693,0,0,32.6411,0,27.0687,0,0,0,49.6887,0,17.9912
