feature,method,model,importance,selected,Method
vacnc_STEM,Variance Threshold,n/a,1.0,1,Variance Threshold
num_dependents,Variance Threshold,n/a,1.0,1,Variance Threshold
region_West,Variance Threshold,n/a,1.0,1,Variance Threshold
married,Variance Threshold,n/a,1.0,1,Variance Threshold
gender_T_Female,Variance Threshold,n/a,1.0,1,Variance Threshold
nonschool_job,Variance Threshold,n/a,1.0,1,Variance Threshold
extracur_act,Variance Threshold,n/a,1.0,1,Variance Threshold
union_member,Variance Threshold,n/a,1.0,1,Variance Threshold
deg_T_MA,Variance Threshold,n/a,1.0,1,Variance Threshold
pd_finance,Variance Threshold,n/a,1.0,1,Variance Threshold
remain_teaching,Variance Threshold,n/a,1.0,1,Variance Threshold
hrs_taught_STEM,Variance Threshold,n/a,1.0,1,Variance Threshold
public_ft_exp,Variance Threshold,n/a,1.0,1,Variance Threshold
public_pt_exp,Variance Threshold,n/a,1.0,1,Variance Threshold
private_ft_exp,Variance Threshold,n/a,1.0,1,Variance Threshold
class_org,Variance Threshold,n/a,1.0,1,Variance Threshold
teaches_7to12,Variance Threshold,n/a,1.0,1,Variance Threshold
new_teacher,Variance Threshold,n/a,1.0,1,Variance Threshold
minority_students,Variance Threshold,n/a,1.0,1,Variance Threshold
FRPL_eligible_k12,Variance Threshold,n/a,1.0,1,Variance Threshold
stu_tch_ratio,Variance Threshold,n/a,1.0,1,Variance Threshold
sch_type,Variance Threshold,n/a,1.0,1,Variance Threshold
level_Elementary,Variance Threshold,n/a,1.0,1,Variance Threshold
urbanicity,Variance Threshold,n/a,1.0,1,Variance Threshold
title_I_receive,Variance Threshold,n/a,1.0,1,Variance Threshold
age_P,Variance Threshold,n/a,1.0,1,Variance Threshold
salary_P,Variance Threshold,n/a,1.0,1,Variance Threshold
yrs_P_this_sch,Variance Threshold,n/a,1.0,1,Variance Threshold
yrs_P_oth_schls,Variance Threshold,n/a,1.0,1,Variance Threshold
yrs_tch_before_P,Variance Threshold,n/a,1.0,1,Variance Threshold
yrs_tch_since_P,Variance Threshold,n/a,1.0,1,Variance Threshold
deg_highest_P,Variance Threshold,n/a,1.0,1,Variance Threshold
gender_P_Female,Variance Threshold,n/a,1.0,1,Variance Threshold
incen_pay,Variance Threshold,n/a,1.0,1,Variance Threshold
BA_major_STEM,Regularization,Lasso,1.0,1,Regularization - Lasso
FRPL_eligible_k12,Regularization,Lasso,1.0,1,Regularization - Lasso
MA_major_STEM,Regularization,Lasso,1.0,1,Regularization - Lasso
class_org,Regularization,Lasso,1.0,1,Regularization - Lasso
deg_T_MA,Regularization,Lasso,1.0,1,Regularization - Lasso
deg_highest_P,Regularization,Lasso,1.0,1,Regularization - Lasso
extracur_act,Regularization,Lasso,1.0,1,Regularization - Lasso
field_cert_Regular,Regularization,Lasso,1.0,1,Regularization - Lasso
field_same,Regularization,Lasso,1.0,1,Regularization - Lasso
full_time,Regularization,Lasso,1.0,1,Regularization - Lasso
incen_NonSTEM,Regularization,Lasso,1.0,1,Regularization - Lasso
incen_pay,Regularization,Lasso,1.0,1,Regularization - Lasso
level_Elementary,Regularization,Lasso,1.0,1,Regularization - Lasso
married,Regularization,Lasso,1.0,1,Regularization - Lasso
merit_pay,Regularization,Lasso,1.0,1,Regularization - Lasso
new_teacher,Regularization,Lasso,1.0,1,Regularization - Lasso
nonteaching_job,Regularization,Lasso,1.0,1,Regularization - Lasso
num_dependents,Regularization,Lasso,1.0,1,Regularization - Lasso
pd_finance,Regularization,Lasso,1.0,1,Regularization - Lasso
private_ft_exp,Regularization,Lasso,1.0,1,Regularization - Lasso
public_ft_exp,Regularization,Lasso,1.0,1,Regularization - Lasso
public_pt_exp,Regularization,Lasso,1.0,1,Regularization - Lasso
race_P_Black,Regularization,Lasso,1.0,1,Regularization - Lasso
race_T_Black,Regularization,Lasso,1.0,1,Regularization - Lasso
race_T_Hispanic,Regularization,Lasso,1.0,1,Regularization - Lasso
region_West,Regularization,Lasso,1.0,1,Regularization - Lasso
remain_teaching,Regularization,Lasso,1.0,1,Regularization - Lasso
salary_P,Regularization,Lasso,1.0,1,Regularization - Lasso
stu_tch_ratio,Regularization,Lasso,1.0,1,Regularization - Lasso
summer_teaching,Regularization,Lasso,1.0,1,Regularization - Lasso
teaches_7to12,Regularization,Lasso,1.0,1,Regularization - Lasso
teaches_ungraded,Regularization,Lasso,1.0,1,Regularization - Lasso
title_I_receive,Regularization,Lasso,1.0,1,Regularization - Lasso
union_member,Regularization,Lasso,1.0,1,Regularization - Lasso
urbanicity,Regularization,Lasso,1.0,1,Regularization - Lasso
yrs_P_oth_schls,Regularization,Lasso,1.0,1,Regularization - Lasso
yrs_P_this_sch,Regularization,Lasso,1.0,1,Regularization - Lasso
yrs_tch_since_P,Regularization,Lasso,1.0,1,Regularization - Lasso
vacnc_STEM,Feature Importance,Random Forest,0.010988828205523691,0,Feature Importance - Random Forest
num_dependents,Feature Importance,Random Forest,0.033794889535498744,1,Feature Importance - Random Forest
region_Northeast,Feature Importance,Random Forest,0.00761092702161993,0,Feature Importance - Random Forest
region_West,Feature Importance,Random Forest,0.012536405328862032,1,Feature Importance - Random Forest
married,Feature Importance,Random Forest,0.01159768486111914,1,Feature Importance - Random Forest
race_T_White,Feature Importance,Random Forest,0.006747933404437868,0,Feature Importance - Random Forest
race_T_Black,Feature Importance,Random Forest,0.003757872831406358,0,Feature Importance - Random Forest
race_T_Hispanic,Feature Importance,Random Forest,0.0039039929219459265,0,Feature Importance - Random Forest
gender_T_Female,Feature Importance,Random Forest,0.010110642244959634,0,Feature Importance - Random Forest
summer_teaching,Feature Importance,Random Forest,0.009575695365313112,0,Feature Importance - Random Forest
nonteaching_job,Feature Importance,Random Forest,0.005861647455310796,0,Feature Importance - Random Forest
nonschool_job,Feature Importance,Random Forest,0.01048004959124404,0,Feature Importance - Random Forest
extracur_act,Feature Importance,Random Forest,0.012128199116558653,1,Feature Importance - Random Forest
merit_pay,Feature Importance,Random Forest,0.008093160817769313,0,Feature Importance - Random Forest
union_member,Feature Importance,Random Forest,0.01244266707551931,1,Feature Importance - Random Forest
BA_major_STEM,Feature Importance,Random Forest,0.005896392656967802,0,Feature Importance - Random Forest
MA_major_STEM,Feature Importance,Random Forest,0.0017704385420683419,0,Feature Importance - Random Forest
field_cert_Regular,Feature Importance,Random Forest,0.009661839788666644,0,Feature Importance - Random Forest
deg_T_MA,Feature Importance,Random Forest,0.015143111157206741,1,Feature Importance - Random Forest
pd_time,Feature Importance,Random Forest,0.008484411782208073,0,Feature Importance - Random Forest
pd_finance,Feature Importance,Random Forest,0.011424519887202639,1,Feature Importance - Random Forest
remain_teaching,Feature Importance,Random Forest,0.06275379364757794,1,Feature Importance - Random Forest
field_STEM,Feature Importance,Random Forest,0.0076783403929959835,0,Feature Importance - Random Forest
hrs_taught_STEM,Feature Importance,Random Forest,0.02573495866022513,1,Feature Importance - Random Forest
public_ft_exp,Feature Importance,Random Forest,0.12991673867991774,1,Feature Importance - Random Forest
public_pt_exp,Feature Importance,Random Forest,0.01765752460185992,1,Feature Importance - Random Forest
private_ft_exp,Feature Importance,Random Forest,0.008949984261951852,0,Feature Importance - Random Forest
class_org,Feature Importance,Random Forest,0.019071750769080315,1,Feature Importance - Random Forest
field_same,Feature Importance,Random Forest,0.010138471641918145,0,Feature Importance - Random Forest
full_time,Feature Importance,Random Forest,0.0079925912762503,0,Feature Importance - Random Forest
teaches_ungraded,Feature Importance,Random Forest,0.0012245213407821424,0,Feature Importance - Random Forest
teaches_7to12,Feature Importance,Random Forest,0.011354928324440653,1,Feature Importance - Random Forest
new_teacher,Feature Importance,Random Forest,0.0264658830419931,1,Feature Importance - Random Forest
minority_students,Feature Importance,Random Forest,0.023877058115491765,1,Feature Importance - Random Forest
FRPL_eligible_k12,Feature Importance,Random Forest,0.0252223220904492,1,Feature Importance - Random Forest
stu_tch_ratio,Feature Importance,Random Forest,0.06677550428098651,1,Feature Importance - Random Forest
sch_type,Feature Importance,Random Forest,0.007533726463627608,0,Feature Importance - Random Forest
level_Elementary,Feature Importance,Random Forest,0.02775534419573446,1,Feature Importance - Random Forest
urbanicity,Feature Importance,Random Forest,0.019529033860963996,1,Feature Importance - Random Forest
title_I_receive,Feature Importance,Random Forest,0.011129287827533287,0,Feature Importance - Random Forest
age_P,Feature Importance,Random Forest,0.028141687963852753,1,Feature Importance - Random Forest
salary_P,Feature Importance,Random Forest,0.030446911528186158,1,Feature Importance - Random Forest
yrs_P_this_sch,Feature Importance,Random Forest,0.044256869226457815,1,Feature Importance - Random Forest
yrs_P_oth_schls,Feature Importance,Random Forest,0.03785284730538296,1,Feature Importance - Random Forest
yrs_tch_before_P,Feature Importance,Random Forest,0.053302802015436954,1,Feature Importance - Random Forest
yrs_tch_since_P,Feature Importance,Random Forest,0.018401146638251546,1,Feature Importance - Random Forest
deg_highest_P,Feature Importance,Random Forest,0.017908180897395425,1,Feature Importance - Random Forest
race_P_Black,Feature Importance,Random Forest,0.0052753484326694185,0,Feature Importance - Random Forest
race_P_White,Feature Importance,Random Forest,0.007251452437181931,0,Feature Importance - Random Forest
race_P_Hispanic,Feature Importance,Random Forest,0.003676165409950342,0,Feature Importance - Random Forest
gender_P_Female,Feature Importance,Random Forest,0.011228261770629905,0,Feature Importance - Random Forest
incen_pay,Feature Importance,Random Forest,0.011929922257338374,1,Feature Importance - Random Forest
incen_NonSTEM,Feature Importance,Random Forest,0.007555331052077749,0,Feature Importance - Random Forest
vacnc_STEM,Permutation Importance,Random Forest,0.0,0,Permutation Importance - Random Forest
num_dependents,Permutation Importance,Random Forest,0.0013736263736263687,1,Permutation Importance - Random Forest
region_Northeast,Permutation Importance,Random Forest,0.00219780219780219,1,Permutation Importance - Random Forest
region_West,Permutation Importance,Random Forest,0.004120879120879106,1,Permutation Importance - Random Forest
married,Permutation Importance,Random Forest,-0.006318681318681296,0,Permutation Importance - Random Forest
race_T_White,Permutation Importance,Random Forest,0.0,0,Permutation Importance - Random Forest
race_T_Black,Permutation Importance,Random Forest,-0.0008241758241758212,0,Permutation Importance - Random Forest
race_T_Hispanic,Permutation Importance,Random Forest,0.0016483516483516425,1,Permutation Importance - Random Forest
gender_T_Female,Permutation Importance,Random Forest,-0.0024725274725274637,0,Permutation Importance - Random Forest
summer_teaching,Permutation Importance,Random Forest,0.0016483516483516425,1,Permutation Importance - Random Forest
nonteaching_job,Permutation Importance,Random Forest,0.0019230769230769162,1,Permutation Importance - Random Forest
nonschool_job,Permutation Importance,Random Forest,0.004120879120879106,1,Permutation Importance - Random Forest
extracur_act,Permutation Importance,Random Forest,-0.001098901098901095,0,Permutation Importance - Random Forest
merit_pay,Permutation Importance,Random Forest,0.0027472527472527375,1,Permutation Importance - Random Forest
union_member,Permutation Importance,Random Forest,0.0038461538461538325,1,Permutation Importance - Random Forest
BA_major_STEM,Permutation Importance,Random Forest,-0.0005494505494505475,0,Permutation Importance - Random Forest
MA_major_STEM,Permutation Importance,Random Forest,0.0,0,Permutation Importance - Random Forest
field_cert_Regular,Permutation Importance,Random Forest,-0.0027472527472527375,0,Permutation Importance - Random Forest
deg_T_MA,Permutation Importance,Random Forest,-0.002197802197802212,0,Permutation Importance - Random Forest
pd_time,Permutation Importance,Random Forest,-0.0005494505494505475,0,Permutation Importance - Random Forest
pd_finance,Permutation Importance,Random Forest,-0.00219780219780219,0,Permutation Importance - Random Forest
remain_teaching,Permutation Importance,Random Forest,0.04313186813186811,1,Permutation Importance - Random Forest
field_STEM,Permutation Importance,Random Forest,-0.0008241758241758212,0,Permutation Importance - Random Forest
hrs_taught_STEM,Permutation Importance,Random Forest,0.0013736263736263687,1,Permutation Importance - Random Forest
public_ft_exp,Permutation Importance,Random Forest,0.08241758241758242,1,Permutation Importance - Random Forest
public_pt_exp,Permutation Importance,Random Forest,0.0038461538461538325,1,Permutation Importance - Random Forest
private_ft_exp,Permutation Importance,Random Forest,0.00027472527472527375,1,Permutation Importance - Random Forest
class_org,Permutation Importance,Random Forest,0.00219780219780219,1,Permutation Importance - Random Forest
field_same,Permutation Importance,Random Forest,-0.0019230769230769162,0,Permutation Importance - Random Forest
full_time,Permutation Importance,Random Forest,0.0027472527472527375,1,Permutation Importance - Random Forest
teaches_ungraded,Permutation Importance,Random Forest,0.0,0,Permutation Importance - Random Forest
teaches_7to12,Permutation Importance,Random Forest,-0.00219780219780219,0,Permutation Importance - Random Forest
new_teacher,Permutation Importance,Random Forest,0.01895604395604391,1,Permutation Importance - Random Forest
minority_students,Permutation Importance,Random Forest,0.0013736263736263687,1,Permutation Importance - Random Forest
FRPL_eligible_k12,Permutation Importance,Random Forest,0.00659340659340657,1,Permutation Importance - Random Forest
stu_tch_ratio,Permutation Importance,Random Forest,0.0013736263736263687,1,Permutation Importance - Random Forest
sch_type,Permutation Importance,Random Forest,0.0013736263736263687,1,Permutation Importance - Random Forest
level_Elementary,Permutation Importance,Random Forest,0.018406593406593407,1,Permutation Importance - Random Forest
urbanicity,Permutation Importance,Random Forest,0.010164835164835129,1,Permutation Importance - Random Forest
title_I_receive,Permutation Importance,Random Forest,-0.0035714285714285587,0,Permutation Importance - Random Forest
age_P,Permutation Importance,Random Forest,-0.00219780219780219,0,Permutation Importance - Random Forest
salary_P,Permutation Importance,Random Forest,0.006868131868131844,1,Permutation Importance - Random Forest
yrs_P_this_sch,Permutation Importance,Random Forest,0.00219780219780219,1,Permutation Importance - Random Forest
