model,n Selected,type,Counts,Method,Train Accuracy,Test Accuracy,MCC,F1,features,index
Lasso,51,by counts,2,,0.728021978021978,0.7527472527472527,0.47902116801388467,0.7501976440825361,"['remain_teaching', 'public_pt_exp', 'public_ft_exp', 'level_Elementary', 'union_member', 'stu_tch_ratio', 'num_dependents', 'new_teacher', 'deg_T_MA', 'yrs_P_this_sch', 'teaches_7to12', 'region_West', 'gender_P_Female', 'deg_highest_P', 'FRPL_eligible_k12', 'yrs_tch_since_P', 'salary_P', 'private_ft_exp', 'married', 'extracur_act', 'age_P', 'BA_major_STEM', 'yrs_tch_before_P', 'yrs_P_oth_schls', 'urbanicity', 'summer_teaching', 'sch_type', 'race_T_Hispanic', 'pd_finance', 'nonschool_job', 'incen_pay', 'field_same', 'title_I_receive', 'race_T_White', 'race_T_Black', 'race_P_White', 'race_P_Black', 'pd_time', 'nonteaching_job', 'minority_students', 'hrs_taught_STEM', 'full_time', 'field_cert_Regular', 'vacnc_STEM', 'merit_pay', 'incen_NonSTEM', 'gender_T_Female', 'MA_major_STEM', 'region_Northeast', 'race_P_Hispanic', 'field_STEM']","[[ 0]
 [ 1]
 [ 2]
 [ 3]
 [ 4]
 [ 5]
 [ 6]
 [ 7]
 [ 8]
 [ 9]
 [10]
 [11]
 [12]
 [13]
 [14]
 [15]
 [16]
 [17]
 [18]
 [19]
 [20]
 [21]
 [22]
 [23]
 [24]
 [25]
 [26]
 [27]
 [28]
 [29]
 [30]
 [31]
 [32]
 [33]
 [34]
 [35]
 [36]
 [37]
 [38]
 [39]
 [40]
 [41]
 [42]
 [43]
 [44]
 [45]
 [46]
 [47]
 [48]
 [49]
 [50]]"
Lasso,48,by counts,3,,0.728021978021978,0.7527472527472527,0.47902116801388467,0.7501976440825361,"['remain_teaching', 'public_pt_exp', 'public_ft_exp', 'level_Elementary', 'union_member', 'stu_tch_ratio', 'num_dependents', 'new_teacher', 'deg_T_MA', 'yrs_P_this_sch', 'teaches_7to12', 'region_West', 'gender_P_Female', 'deg_highest_P', 'FRPL_eligible_k12', 'yrs_tch_since_P', 'salary_P', 'private_ft_exp', 'married', 'extracur_act', 'age_P', 'BA_major_STEM', 'yrs_tch_before_P', 'yrs_P_oth_schls', 'urbanicity', 'summer_teaching', 'sch_type', 'race_T_Hispanic', 'pd_finance', 'nonschool_job', 'incen_pay', 'field_same', 'title_I_receive', 'race_T_White', 'race_T_Black', 'race_P_White', 'race_P_Black', 'pd_time', 'nonteaching_job', 'minority_students', 'hrs_taught_STEM', 'full_time', 'field_cert_Regular', 'vacnc_STEM', 'merit_pay', 'incen_NonSTEM', 'gender_T_Female', 'MA_major_STEM']","[[ 0]
 [ 1]
 [ 3]
 [ 4]
 [ 5]
 [ 6]
 [ 7]
 [ 8]
 [ 9]
 [10]
 [11]
 [12]
 [13]
 [14]
 [15]
 [16]
 [17]
 [18]
 [19]
 [20]
 [21]
 [23]
 [24]
 [25]
 [26]
 [27]
 [28]
 [29]
 [30]
 [31]
 [32]
 [33]
 [34]
 [35]
 [36]
 [37]
 [38]
 [39]
 [40]
 [41]
 [42]
 [43]
 [44]
 [45]
 [46]
 [48]
 [49]
 [50]]"
Lasso,43,by counts,4,,0.7307692307692307,0.75,0.472509864061863,0.7470020520713095,"['remain_teaching', 'public_pt_exp', 'public_ft_exp', 'level_Elementary', 'union_member', 'stu_tch_ratio', 'num_dependents', 'new_teacher', 'deg_T_MA', 'yrs_P_this_sch', 'teaches_7to12', 'region_West', 'gender_P_Female', 'deg_highest_P', 'FRPL_eligible_k12', 'yrs_tch_since_P', 'salary_P', 'private_ft_exp', 'married', 'extracur_act', 'age_P', 'BA_major_STEM', 'yrs_tch_before_P', 'yrs_P_oth_schls', 'urbanicity', 'summer_teaching', 'sch_type', 'race_T_Hispanic', 'pd_finance', 'nonschool_job', 'incen_pay', 'field_same', 'title_I_receive', 'race_T_White', 'race_T_Black', 'race_P_White', 'race_P_Black', 'pd_time', 'nonteaching_job', 'minority_students', 'hrs_taught_STEM', 'full_time', 'field_cert_Regular']","[[ 1]
 [ 3]
 [ 4]
 [ 5]
 [ 6]
 [ 7]
 [ 9]
 [10]
 [11]
 [12]
 [14]
 [15]
 [17]
 [18]
 [19]
 [20]
 [21]
 [23]
 [24]
 [25]
 [26]
 [27]
 [28]
 [29]
 [30]
 [31]
 [32]
 [33]
 [34]
 [35]
 [36]
 [37]
 [38]
 [39]
 [40]
 [41]
 [42]
 [43]
 [44]
 [45]
 [46]
 [48]
 [49]]"
Lasso,32,by counts,5,,0.7321428571428571,0.7486263736263736,0.47009618954784244,0.7459304366629561,"['remain_teaching', 'public_pt_exp', 'public_ft_exp', 'level_Elementary', 'union_member', 'stu_tch_ratio', 'num_dependents', 'new_teacher', 'deg_T_MA', 'yrs_P_this_sch', 'teaches_7to12', 'region_West', 'gender_P_Female', 'deg_highest_P', 'FRPL_eligible_k12', 'yrs_tch_since_P', 'salary_P', 'private_ft_exp', 'married', 'extracur_act', 'age_P', 'BA_major_STEM', 'yrs_tch_before_P', 'yrs_P_oth_schls', 'urbanicity', 'summer_teaching', 'sch_type', 'race_T_Hispanic', 'pd_finance', 'nonschool_job', 'incen_pay', 'field_same']","[[ 1]
 [ 3]
 [ 4]
 [ 7]
 [ 9]
 [11]
 [12]
 [14]
 [15]
 [18]
 [20]
 [21]
 [24]
 [25]
 [26]
 [27]
 [29]
 [30]
 [32]
 [33]
 [34]
 [35]
 [36]
 [38]
 [39]
 [40]
 [41]
 [42]
 [43]
 [44]
 [48]
 [49]]"
Lasso,22,by counts,6,,0.7290521978021978,0.7486263736263736,0.46910811014730586,0.7452829236180945,"['remain_teaching', 'public_pt_exp', 'public_ft_exp', 'level_Elementary', 'union_member', 'stu_tch_ratio', 'num_dependents', 'new_teacher', 'deg_T_MA', 'yrs_P_this_sch', 'teaches_7to12', 'region_West', 'gender_P_Female', 'deg_highest_P', 'FRPL_eligible_k12', 'yrs_tch_since_P', 'salary_P', 'private_ft_exp', 'married', 'extracur_act', 'age_P', 'BA_major_STEM']","[[ 1]
 [ 3]
 [ 4]
 [12]
 [14]
 [15]
 [18]
 [21]
 [24]
 [25]
 [26]
 [29]
 [30]
 [32]
 [33]
 [35]
 [38]
 [39]
 [40]
 [43]
 [44]
 [48]]"
Lasso,15,by counts,7,,0.7211538461538461,0.7445054945054945,0.4601499577482143,0.7409933590317204,"['remain_teaching', 'public_pt_exp', 'public_ft_exp', 'level_Elementary', 'union_member', 'stu_tch_ratio', 'num_dependents', 'new_teacher', 'deg_T_MA', 'yrs_P_this_sch', 'teaches_7to12', 'region_West', 'gender_P_Female', 'deg_highest_P', 'FRPL_eligible_k12']","[[ 1]
 [ 3]
 [14]
 [18]
 [21]
 [24]
 [25]
 [29]
 [30]
 [32]
 [33]
 [35]
 [40]
 [44]
 [48]]"
Lasso,9,by counts,8,,0.7228708791208791,0.7486263736263736,0.46801454143800897,0.7443531514696025,"['remain_teaching', 'public_pt_exp', 'public_ft_exp', 'level_Elementary', 'union_member', 'stu_tch_ratio', 'num_dependents', 'new_teacher', 'deg_T_MA']","[[ 1]
 [14]
 [18]
 [21]
 [24]
 [25]
 [30]
 [33]
 [35]]"
Lasso,4,by counts,9,,0.7194368131868132,0.7307692307692307,0.43079224042916886,0.7270682708076193,"['remain_teaching', 'public_pt_exp', 'public_ft_exp', 'level_Elementary']","[[21]
 [24]
 [25]
 [35]]"
Lasso,33,by methods,n/a,Variance Threshold,0.728021978021978,0.75,0.4718930446758325,0.7465633943213608,"['remain_teaching', 'public_pt_exp', 'public_ft_exp', 'level_Elementary', 'union_member', 'stu_tch_ratio', 'num_dependents', 'new_teacher', 'deg_T_MA', 'yrs_P_this_sch', 'teaches_7to12', 'region_West', 'gender_P_Female', 'deg_highest_P', 'FRPL_eligible_k12', 'yrs_tch_since_P', 'salary_P', 'private_ft_exp', 'married', 'extracur_act', 'age_P', 'yrs_tch_before_P', 'yrs_P_oth_schls', 'urbanicity', 'sch_type', 'pd_finance', 'nonschool_job', 'incen_pay', 'title_I_receive', 'minority_students', 'hrs_taught_STEM', 'vacnc_STEM', 'gender_T_Female']","[[ 0]
 [ 1]
 [ 3]
 [ 4]
 [ 8]
 [11]
 [12]
 [14]
 [18]
 [20]
 [21]
 [23]
 [24]
 [25]
 [26]
 [29]
 [30]
 [31]
 [32]
 [33]
 [34]
 [35]
 [36]
 [37]
 [38]
 [39]
 [40]
 [41]
 [42]
 [43]
 [44]
 [48]
 [49]]"
Lasso,35,by methods,n/a,Regularization - Lasso,0.728021978021978,0.7527472527472527,0.47902116801388467,0.7501976440825361,"['remain_teaching', 'public_pt_exp', 'public_ft_exp', 'level_Elementary', 'union_member', 'stu_tch_ratio', 'num_dependents', 'new_teacher', 'deg_T_MA', 'yrs_P_this_sch', 'teaches_7to12', 'region_West', 'deg_highest_P', 'FRPL_eligible_k12', 'yrs_tch_since_P', 'salary_P', 'private_ft_exp', 'married', 'extracur_act', 'BA_major_STEM', 'urbanicity', 'summer_teaching', 'race_T_Hispanic', 'pd_finance', 'incen_pay', 'field_same', 'title_I_receive', 'race_T_Black', 'race_P_Black', 'nonteaching_job', 'full_time', 'field_cert_Regular', 'merit_pay', 'incen_NonSTEM', 'MA_major_STEM']","[[ 1]
 [ 3]
 [ 4]
 [ 6]
 [ 7]
 [ 9]
 [10]
 [12]
 [13]
 [14]
 [15]
 [16]
 [17]
 [18]
 [20]
 [21]
 [24]
 [25]
 [26]
 [27]
 [28]
 [29]
 [30]
 [32]
 [33]
 [35]
 [36]
 [37]
 [39]
 [40]
 [43]
 [44]
 [45]
 [49]
 [50]]"
