feature,method,model,importance,selected,Method
vacnc_STEM,Variance Threshold,n/a,1.0,1,Variance Threshold
num_dependents,Variance Threshold,n/a,1.0,1,Variance Threshold
region_West,Variance Threshold,n/a,1.0,1,Variance Threshold
married,Variance Threshold,n/a,1.0,1,Variance Threshold
gender_T_Female,Variance Threshold,n/a,1.0,1,Variance Threshold
nonschool_job,Variance Threshold,n/a,1.0,1,Variance Threshold
extracur_act,Variance Threshold,n/a,1.0,1,Variance Threshold
union_member,Variance Threshold,n/a,1.0,1,Variance Threshold
deg_T_MA,Variance Threshold,n/a,1.0,1,Variance Threshold
pd_finance,Variance Threshold,n/a,1.0,1,Variance Threshold
remain_teaching,Variance Threshold,n/a,1.0,1,Variance Threshold
hrs_taught_STEM,Variance Threshold,n/a,1.0,1,Variance Threshold
public_ft_exp,Variance Threshold,n/a,1.0,1,Variance Threshold
public_pt_exp,Variance Threshold,n/a,1.0,1,Variance Threshold
private_ft_exp,Variance Threshold,n/a,1.0,1,Variance Threshold
teaches_7to12,Variance Threshold,n/a,1.0,1,Variance Threshold
new_teacher,Variance Threshold,n/a,1.0,1,Variance Threshold
minority_students,Variance Threshold,n/a,1.0,1,Variance Threshold
FRPL_eligible_k12,Variance Threshold,n/a,1.0,1,Variance Threshold
stu_tch_ratio,Variance Threshold,n/a,1.0,1,Variance Threshold
sch_type,Variance Threshold,n/a,1.0,1,Variance Threshold
level_Elementary,Variance Threshold,n/a,1.0,1,Variance Threshold
urbanicity,Variance Threshold,n/a,1.0,1,Variance Threshold
title_I_receive,Variance Threshold,n/a,1.0,1,Variance Threshold
age_P,Variance Threshold,n/a,1.0,1,Variance Threshold
salary_P,Variance Threshold,n/a,1.0,1,Variance Threshold
yrs_P_this_sch,Variance Threshold,n/a,1.0,1,Variance Threshold
yrs_P_oth_schls,Variance Threshold,n/a,1.0,1,Variance Threshold
yrs_tch_before_P,Variance Threshold,n/a,1.0,1,Variance Threshold
yrs_tch_since_P,Variance Threshold,n/a,1.0,1,Variance Threshold
deg_highest_P,Variance Threshold,n/a,1.0,1,Variance Threshold
gender_P_Female,Variance Threshold,n/a,1.0,1,Variance Threshold
incen_pay,Variance Threshold,n/a,1.0,1,Variance Threshold
BA_major_STEM,Regularization,Lasso,1.0,1,Regularization - Lasso
FRPL_eligible_k12,Regularization,Lasso,1.0,1,Regularization - Lasso
MA_major_STEM,Regularization,Lasso,1.0,1,Regularization - Lasso
deg_T_MA,Regularization,Lasso,1.0,1,Regularization - Lasso
deg_highest_P,Regularization,Lasso,1.0,1,Regularization - Lasso
extracur_act,Regularization,Lasso,1.0,1,Regularization - Lasso
field_cert_Regular,Regularization,Lasso,1.0,1,Regularization - Lasso
field_same,Regularization,Lasso,1.0,1,Regularization - Lasso
full_time,Regularization,Lasso,1.0,1,Regularization - Lasso
incen_NonSTEM,Regularization,Lasso,1.0,1,Regularization - Lasso
incen_pay,Regularization,Lasso,1.0,1,Regularization - Lasso
level_Elementary,Regularization,Lasso,1.0,1,Regularization - Lasso
married,Regularization,Lasso,1.0,1,Regularization - Lasso
merit_pay,Regularization,Lasso,1.0,1,Regularization - Lasso
new_teacher,Regularization,Lasso,1.0,1,Regularization - Lasso
nonteaching_job,Regularization,Lasso,1.0,1,Regularization - Lasso
num_dependents,Regularization,Lasso,1.0,1,Regularization - Lasso
pd_finance,Regularization,Lasso,1.0,1,Regularization - Lasso
private_ft_exp,Regularization,Lasso,1.0,1,Regularization - Lasso
public_ft_exp,Regularization,Lasso,1.0,1,Regularization - Lasso
public_pt_exp,Regularization,Lasso,1.0,1,Regularization - Lasso
race_P_Black,Regularization,Lasso,1.0,1,Regularization - Lasso
race_T_Black,Regularization,Lasso,1.0,1,Regularization - Lasso
race_T_Hispanic,Regularization,Lasso,1.0,1,Regularization - Lasso
region_West,Regularization,Lasso,1.0,1,Regularization - Lasso
remain_teaching,Regularization,Lasso,1.0,1,Regularization - Lasso
salary_P,Regularization,Lasso,1.0,1,Regularization - Lasso
stu_tch_ratio,Regularization,Lasso,1.0,1,Regularization - Lasso
summer_teaching,Regularization,Lasso,1.0,1,Regularization - Lasso
teaches_7to12,Regularization,Lasso,1.0,1,Regularization - Lasso
title_I_receive,Regularization,Lasso,1.0,1,Regularization - Lasso
union_member,Regularization,Lasso,1.0,1,Regularization - Lasso
urbanicity,Regularization,Lasso,1.0,1,Regularization - Lasso
yrs_P_this_sch,Regularization,Lasso,1.0,1,Regularization - Lasso
yrs_tch_since_P,Regularization,Lasso,1.0,1,Regularization - Lasso
vacnc_STEM,Feature Importance,Random Forest,0.01114489225313165,0,Feature Importance - Random Forest
num_dependents,Feature Importance,Random Forest,0.03465965014428874,1,Feature Importance - Random Forest
region_Northeast,Feature Importance,Random Forest,0.007875708123699275,0,Feature Importance - Random Forest
region_West,Feature Importance,Random Forest,0.011552235271539145,1,Feature Importance - Random Forest
married,Feature Importance,Random Forest,0.013088969786294369,1,Feature Importance - Random Forest
race_T_White,Feature Importance,Random Forest,0.006928795007697901,0,Feature Importance - Random Forest
race_T_Black,Feature Importance,Random Forest,0.0035893533662771384,0,Feature Importance - Random Forest
race_T_Hispanic,Feature Importance,Random Forest,0.004085745360747036,0,Feature Importance - Random Forest
gender_T_Female,Feature Importance,Random Forest,0.010026049830952235,0,Feature Importance - Random Forest
summer_teaching,Feature Importance,Random Forest,0.009210127599415694,0,Feature Importance - Random Forest
nonteaching_job,Feature Importance,Random Forest,0.006037920984682718,0,Feature Importance - Random Forest
nonschool_job,Feature Importance,Random Forest,0.010334572326565018,0,Feature Importance - Random Forest
extracur_act,Feature Importance,Random Forest,0.012245077972697421,1,Feature Importance - Random Forest
merit_pay,Feature Importance,Random Forest,0.00793848173152754,0,Feature Importance - Random Forest
union_member,Feature Importance,Random Forest,0.013210400468391946,1,Feature Importance - Random Forest
BA_major_STEM,Feature Importance,Random Forest,0.005708697319584471,0,Feature Importance - Random Forest
MA_major_STEM,Feature Importance,Random Forest,0.0016919940002399739,0,Feature Importance - Random Forest
field_cert_Regular,Feature Importance,Random Forest,0.00933904131853535,0,Feature Importance - Random Forest
deg_T_MA,Feature Importance,Random Forest,0.01517705318339328,1,Feature Importance - Random Forest
pd_time,Feature Importance,Random Forest,0.00887012983723489,0,Feature Importance - Random Forest
pd_finance,Feature Importance,Random Forest,0.012806611647053831,1,Feature Importance - Random Forest
remain_teaching,Feature Importance,Random Forest,0.062235517452616226,1,Feature Importance - Random Forest
field_STEM,Feature Importance,Random Forest,0.007620298717909591,0,Feature Importance - Random Forest
hrs_taught_STEM,Feature Importance,Random Forest,0.028456189382023767,1,Feature Importance - Random Forest
public_ft_exp,Feature Importance,Random Forest,0.12473993183915498,1,Feature Importance - Random Forest
public_pt_exp,Feature Importance,Random Forest,0.01816162255903132,1,Feature Importance - Random Forest
private_ft_exp,Feature Importance,Random Forest,0.008841638097814792,0,Feature Importance - Random Forest
field_same,Feature Importance,Random Forest,0.010589632863592584,0,Feature Importance - Random Forest
full_time,Feature Importance,Random Forest,0.008114969764372893,0,Feature Importance - Random Forest
teaches_7to12,Feature Importance,Random Forest,0.01481533600259903,1,Feature Importance - Random Forest
new_teacher,Feature Importance,Random Forest,0.028710556088607994,1,Feature Importance - Random Forest
minority_students,Feature Importance,Random Forest,0.023871158194176453,1,Feature Importance - Random Forest
FRPL_eligible_k12,Feature Importance,Random Forest,0.025182568040689496,1,Feature Importance - Random Forest
stu_tch_ratio,Feature Importance,Random Forest,0.07071166421470726,1,Feature Importance - Random Forest
sch_type,Feature Importance,Random Forest,0.007876800937723853,0,Feature Importance - Random Forest
level_Elementary,Feature Importance,Random Forest,0.028636245209462948,1,Feature Importance - Random Forest
urbanicity,Feature Importance,Random Forest,0.020014142135859943,1,Feature Importance - Random Forest
title_I_receive,Feature Importance,Random Forest,0.011054223310274676,0,Feature Importance - Random Forest
age_P,Feature Importance,Random Forest,0.02916033490988948,1,Feature Importance - Random Forest
salary_P,Feature Importance,Random Forest,0.030547626451799818,1,Feature Importance - Random Forest
yrs_P_this_sch,Feature Importance,Random Forest,0.046341319516857646,1,Feature Importance - Random Forest
yrs_P_oth_schls,Feature Importance,Random Forest,0.039968725426897424,1,Feature Importance - Random Forest
yrs_tch_before_P,Feature Importance,Random Forest,0.054330099181121756,1,Feature Importance - Random Forest
yrs_tch_since_P,Feature Importance,Random Forest,0.019578606541274534,1,Feature Importance - Random Forest
deg_highest_P,Feature Importance,Random Forest,0.019003469829318647,1,Feature Importance - Random Forest
race_P_Black,Feature Importance,Random Forest,0.00445897611857813,0,Feature Importance - Random Forest
race_P_White,Feature Importance,Random Forest,0.007442586143336107,0,Feature Importance - Random Forest
race_P_Hispanic,Feature Importance,Random Forest,0.0039723483658513055,0,Feature Importance - Random Forest
gender_P_Female,Feature Importance,Random Forest,0.011306829595313104,1,Feature Importance - Random Forest
incen_pay,Feature Importance,Random Forest,0.011165252904809866,0,Feature Importance - Random Forest
incen_NonSTEM,Feature Importance,Random Forest,0.007569822670384656,0,Feature Importance - Random Forest
vacnc_STEM,Permutation Importance,Random Forest,0.00879120879120876,1,Permutation Importance - Random Forest
num_dependents,Permutation Importance,Random Forest,0.018131868131868133,1,Permutation Importance - Random Forest
region_Northeast,Permutation Importance,Random Forest,-0.00219780219780219,0,Permutation Importance - Random Forest
region_West,Permutation Importance,Random Forest,0.0049450549450549275,1,Permutation Importance - Random Forest
married,Permutation Importance,Random Forest,0.0013736263736263687,1,Permutation Importance - Random Forest
race_T_White,Permutation Importance,Random Forest,-0.00027472527472527375,0,Permutation Importance - Random Forest
race_T_Black,Permutation Importance,Random Forest,0.001098901098901095,1,Permutation Importance - Random Forest
race_T_Hispanic,Permutation Importance,Random Forest,0.001098901098901095,1,Permutation Importance - Random Forest
gender_T_Female,Permutation Importance,Random Forest,-0.00027472527472527375,0,Permutation Importance - Random Forest
summer_teaching,Permutation Importance,Random Forest,0.0038461538461538325,1,Permutation Importance - Random Forest
nonteaching_job,Permutation Importance,Random Forest,0.004120879120879106,1,Permutation Importance - Random Forest
nonschool_job,Permutation Importance,Random Forest,0.0024725274725274637,1,Permutation Importance - Random Forest
extracur_act,Permutation Importance,Random Forest,0.0,0,Permutation Importance - Random Forest
merit_pay,Permutation Importance,Random Forest,0.0013736263736263687,1,Permutation Importance - Random Forest
union_member,Permutation Importance,Random Forest,0.005494505494505475,1,Permutation Importance - Random Forest
BA_major_STEM,Permutation Importance,Random Forest,0.001098901098901095,1,Permutation Importance - Random Forest
MA_major_STEM,Permutation Importance,Random Forest,0.0,0,Permutation Importance - Random Forest
field_cert_Regular,Permutation Importance,Random Forest,0.0019230769230769162,1,Permutation Importance - Random Forest
deg_T_MA,Permutation Importance,Random Forest,0.0060439560439560225,1,Permutation Importance - Random Forest
pd_time,Permutation Importance,Random Forest,0.00219780219780219,1,Permutation Importance - Random Forest
pd_finance,Permutation Importance,Random Forest,0.0016483516483516425,1,Permutation Importance - Random Forest
remain_teaching,Permutation Importance,Random Forest,0.04148351648351647,1,Permutation Importance - Random Forest
field_STEM,Permutation Importance,Random Forest,0.00027472527472527375,1,Permutation Importance - Random Forest
hrs_taught_STEM,Permutation Importance,Random Forest,0.012912087912087866,1,Permutation Importance - Random Forest
public_ft_exp,Permutation Importance,Random Forest,0.07280219780219781,1,Permutation Importance - Random Forest
public_pt_exp,Permutation Importance,Random Forest,0.005769230769230749,1,Permutation Importance - Random Forest
private_ft_exp,Permutation Importance,Random Forest,0.0030219780219780112,1,Permutation Importance - Random Forest
field_same,Permutation Importance,Random Forest,0.001098901098901095,1,Permutation Importance - Random Forest
full_time,Permutation Importance,Random Forest,0.0005494505494505475,1,Permutation Importance - Random Forest
teaches_7to12,Permutation Importance,Random Forest,-0.0005494505494505475,0,Permutation Importance - Random Forest
new_teacher,Permutation Importance,Random Forest,0.02060439560439562,1,Permutation Importance - Random Forest
minority_students,Permutation Importance,Random Forest,0.00439560439560438,1,Permutation Importance - Random Forest
FRPL_eligible_k12,Permutation Importance,Random Forest,0.0019230769230769162,1,Permutation Importance - Random Forest
stu_tch_ratio,Permutation Importance,Random Forest,0.005494505494505475,1,Permutation Importance - Random Forest
sch_type,Permutation Importance,Random Forest,0.0030219780219780112,1,Permutation Importance - Random Forest
level_Elementary,Permutation Importance,Random Forest,0.02994505494505495,1,Permutation Importance - Random Forest
urbanicity,Permutation Importance,Random Forest,0.0030219780219780112,1,Permutation Importance - Random Forest
title_I_receive,Permutation Importance,Random Forest,0.0016483516483516425,1,Permutation Importance - Random Forest
age_P,Permutation Importance,Random Forest,0.011813186813186771,1,Permutation Importance - Random Forest
salary_P,Permutation Importance,Random Forest,0.010164835164835129,1,Permutation Importance - Random Forest
yrs_P_this_sch,Permutation Importance,Random Forest,0.008791208791208783,1,Permutation Importance - Random Forest
yrs_P_oth_schls,Permutation Importance,Random Forest,0.006318681318681296,1,Permutation Importance - Random Forest
yrs_tch_before_P,Permutation Importance,Random Forest,0.013461538461538436,1,Permutation Importance - Random Forest
yrs_tch_since_P,Permutation Importance,Random Forest,0.0019230769230769162,1,Permutation Importance - Random Forest
deg_highest_P,Permutation Importance,Random Forest,0.0035714285714285587,1,Permutation Importance - Random Forest
race_P_Black,Permutation Importance,Random Forest,0.00027472527472527375,1,Permutation Importance - Random Forest
race_P_White,Permutation Importance,Random Forest,0.0024725274725274637,1,Permutation Importance - Random Forest
race_P_Hispanic,Permutation Importance,Random Forest,-0.00027472527472527375,0,Permutation Importance - Random Forest
