F0195,F0196,F0197,FTPT_S,GENDER,CNTLNUM_T,SCHCNTL,label,AGE_T,EARNALL,EARNSCH,MINTCH,NEWTCH,RACETH_T,STU_TCH,T0065,T0066,T0067,T0068,T0069,T0070,T0072,T0080,T0081,T0082,T0084,T0087,T0090,T0093,T0096,T0099,T0102,T0103,T0104,T0120,T0179,T0180,T0181,T0182,T0183,T0184,T0191,T0192,T0193,T0194,T0195,T0196,T0197,T0198,T0199,T0200,T0201,T0202,T0203,T0204,T0205,T0206,T0209,T0210,T0211,T0212,T0273,T0339,T0340,T0341,T0343,T0345,T0347,T0348,T0350,T0352,T0355,TOTEXPER,MINENR,PGMTYPE,REGION,S0265,S0266,S0267,S0268,S0269,S0270,S0271,S0272,S0273,S0274,S0275,S0276,S0282,S0283,S0284,S0285,S0286,S0287,S0288,S0290,S0306,S0307,S0308,S1611,S1612,S1613,S1614,S1615,S1616,S1617,S1618,S1619,S1620,S1621,S1622,S1623,S1624,S1625,S1626,S1627,SCHLEVEL,URBANIC,A0053,A0054,A0055,A0056,A0225,A0226,A0227,AGE_P,RACETH_P,CNTLNUM_P
1,4,0,1,2,143668,100019,0,3,3,3,5,2,1,12.19,19,0,2,-8,-8,1,4,2,-8,-8,1,1,-8,-8,-8,-8,3,1,1,1,2,2,1,1,2,2,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,10,6,1,1,38,4,4,1,2,2,4,2,2,2,1,19,4,1,4,3,2,3,2,2,2,5,4,5,2,2,1,1,3,4,1,2,4,1,-8,-8,-8,-8,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,1,1,3,0,0,5,0,3,1,2,1,1,101276
1,4,2,1,1,147352,100029,0,1,2,2,2,2,4,14.79,4,0,2,-8,-8,1,5,2,-8,-8,-8,-8,-8,-8,-8,-8,32,1,1,1,2,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,1,1,-8,-8,-8,-8,40,4,4,2,2,2,2,1,2,1,1,4,2,1,2,1,1,3,3,1,3,1,4,1,1,1,1,1,1,2,1,1,2,2,-8,-8,-8,-8,2,2,1,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,2,0,0,18,0,5,3,2,4,4,103310
2,4,0,1,2,141414,100053,0,3,4,3,3,2,4,13.98,16,0,2,-8,-8,1,57,2,-8,-8,-8,-8,-8,-8,-8,-8,16,1,1,1,1,1,2,2,2,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,1,-8,-8,-8,-8,40,1,1,1,1,1,4,1,1,1,2,16,3,1,3,1,4,3,3,1,4,4,4,4,5,4,1,1,1,1,1,1,1,2,-8,-8,-8,-8,2,1,1,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,2,2,0,13,0,4,3,2,2,4,108866
1,2,0,1,1,131108,100056,0,3,4,2,2,2,4,16.0,8,0,2,-8,-8,1,22,1,5,2,-8,-8,-8,-8,-8,-8,36,1,1,1,1,1,2,2,1,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,1,1,-8,-8,-8,-8,40,5,5,2,2,1,3,2,2,1,1,8,2,1,3,2,4,5,4,2,4,2,2,2,5,5,4,1,1,2,1,1,2,2,-8,-8,-8,-8,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,2,0,0,7,0,3,2,2,1,4,102684
1,1,0,1,1,139862,100062,0,3,3,3,1,2,4,12.31,7,0,2,-8,-8,1,69,1,69,2,-8,-8,-8,1,-8,-8,37,1,1,1,2,1,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,1,1,1,-8,-8,-8,-8,38,5,1,1,2,2,3,2,2,1,1,7,1,1,1,1,5,3,2,3,2,2,3,4,2,3,2,1,1,1,1,1,1,2,-8,-8,-8,-8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,3,2,7,7,0,3,4,2,4,4,104721
2,0,0,1,2,113644,100066,0,4,4,4,3,2,4,14.83,25,4,2,-8,-8,1,18,2,-8,-8,-8,-8,-8,-8,-8,-8,3,1,1,1,2,2,1,2,1,2,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,4,5,0,5,0,43,2,2,2,2,2,5,1,2,2,1,29,3,1,2,3,5,3,3,3,3,3,3,3,3,3,1,1,1,2,1,1,2,2,-8,-8,-8,-8,2,2,1,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,2,9,3,17,1,4,5,1,4,4,101808
2,0,0,1,2,147701,100066,0,2,3,3,3,2,4,14.83,8,0,2,-8,-8,1,59,1,22,4,-8,-8,-8,-8,-8,-8,35,1,1,1,1,1,1,1,1,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,40,3,5,2,2,2,5,1,2,2,1,8,3,1,2,3,5,3,3,3,3,3,3,3,3,3,1,1,1,2,1,1,2,2,-8,-8,-8,-8,2,2,1,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,2,9,3,17,1,4,5,1,4,4,101808
3,1,0,1,1,105407,100083,0,1,1,1,3,1,4,12.22,3,0,2,-8,-8,1,88,2,-8,-8,-8,-8,-8,-8,-8,-8,35,1,3,1,1,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,-8,-8,-8,-8,2,-8,-8,-8,-8,40,3,3,2,2,2,2,1,2,2,1,3,2,1,2,1,3,3,3,4,4,4,5,1,2,2,2,1,1,2,1,1,2,2,-8,-8,-8,-8,1,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,2,16,5,5,0,3,3,1,4,4,106781
1,2,0,1,2,126822,100083,0,4,3,3,3,2,4,12.22,23,0,1,3,0,1,4,1,40,3,-8,-8,-8,-8,-8,-8,55,1,1,1,2,1,2,1,1,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,-8,-8,-8,-8,1,-8,-8,-8,-8,38,3,1,2,2,2,5,2,2,2,1,26,2,1,2,1,3,3,3,4,4,4,5,1,2,2,2,1,1,2,1,1,2,2,-8,-8,-8,-8,1,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,2,16,5,5,0,3,3,1,4,4,106781
1,0,0,1,2,100146,100092,0,4,2,2,2,2,4,19.15,30,0,2,-8,-8,1,49,1,12,1,-8,-8,-8,-8,-8,-8,23,1,1,1,2,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,1,-8,-8,-8,-8,40,1,2,2,2,2,2,2,2,2,1,30,2,1,2,1,1,2,2,2,2,5,2,1,5,2,2,1,1,2,1,1,2,2,-8,-8,-8,-8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,3,1,6,7,0,3,4,1,4,4,107842
1,5,0,1,2,119017,100096,0,2,2,2,1,2,4,17.19,5,1,2,-8,-8,1,67,1,4,3,-8,-8,-8,-8,-8,-8,14,1,3,1,2,2,2,2,2,2,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,40,2,5,2,2,2,4,2,2,2,1,6,2,1,1,3,2,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,2,1,-8,-8,-8,-8,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,3,0,23,0,4,4,2,5,4,104075
1,0,0,1,2,145091,100099,0,4,1,1,1,2,4,9.79,39,0,2,-8,-8,1,88,2,-8,-8,-8,-8,-8,-8,-8,-8,55,1,3,1,2,1,2,2,1,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,5,10,10,10,10,38,1,1,2,2,2,1,2,1,2,1,39,1,1,2,1,2,2,2,2,2,2,2,2,2,5,2,1,1,4,1,1,4,2,-8,-8,-8,-8,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,3,3,3,15,0,4,2,1,2,4,104789
1,0,0,1,2,140146,100102,0,3,3,3,3,2,4,15.78,27,0,2,-8,-8,1,83,1,20,2,-8,-8,-8,-8,-8,-8,22,1,1,1,1,1,1,2,1,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,-8,4,0,0,12,0,48,5,2,2,2,2,5,1,2,1,1,27,3,1,3,1,2,3,3,4,2,3,3,4,4,2,4,1,1,2,1,1,2,2,-8,-8,-8,-8,2,1,2,1,1,2,1,2,2,1,1,1,1,1,1,2,1,2,1,2,3,24,1,3,4,2,4,4,108634
2,1,1,1,2,120276,100136,0,1,1,1,3,1,4,10.63,1,0,2,-8,-8,1,49,2,-8,-8,-8,-8,-8,-8,-8,-8,23,1,4,3,1,1,1,2,2,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,1,1,-8,-8,-8,-8,41,4,3,2,2,2,1,2,2,2,2,1,3,1,3,3,3,3,3,3,3,3,3,1,2,2,2,1,1,4,1,1,4,1,-8,-8,-8,-8,1,1,1,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,3,1,0,24,1,3,2,1,3,4,100180
1,0,0,1,2,135020,100146,0,3,1,1,4,2,4,16.27,12,0,2,-8,-8,1,4,2,-8,-8,-8,-8,-8,-8,-8,-8,3,1,4,3,1,1,1,2,2,2,-8,-8,-8,-8,-8,-8,1,1,-8,-8,-8,-8,-8,-8,-8,3,18,10,1,1,45,3,3,2,2,2,2,2,2,2,1,12,3,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,3,4,1,-8,-8,-8,-8,1,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,2,3,0,15,0,3,3,2,4,3,105412
2,0,0,1,2,133931,100154,0,4,3,2,1,2,4,17.27,14,3,2,-8,-8,1,4,2,-8,-8,-8,-8,-8,-8,-8,-8,3,1,1,1,1,2,2,2,2,2,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,14,8,0,3,35,4,5,2,2,1,4,2,2,1,2,17,3,1,2,3,4,2,2,2,2,2,2,2,2,2,2,1,1,3,1,1,3,1,2,1,2,2,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,0,2,5,2,3,2,1,1,4,105289
3,0,0,1,2,112411,100167,0,1,1,1,2,1,4,14.25,2,1,2,-8,-8,1,4,2,-8,-8,-8,-8,-8,-8,-8,-8,23,1,1,2,1,1,1,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,4,15,0,10,0,40,1,1,2,2,2,1,2,2,2,1,3,2,1,4,4,6,2,3,2,5,4,4,2,2,3,2,1,1,3,1,1,3,2,-8,-8,-8,-8,1,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,10,1,18,0,3,3,1,4,4,111208
1,3,0,1,2,147351,100174,0,2,4,4,4,2,4,12.75,12,0,2,-8,-8,1,59,1,4,4,-8,-8,-8,-8,-8,-8,3,1,1,1,1,2,1,1,1,1,-8,-8,-8,-8,-8,1,1,1,1,-8,-8,-8,-8,-8,-8,4,13,10,0,3,40,1,1,1,1,2,1,1,2,2,1,12,4,1,2,4,2,1,1,1,1,1,1,1,1,2,1,1,1,4,1,1,4,1,-8,-8,-8,-8,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,3,13,0,11,0,3,3,2,3,4,104984
1,1,1,1,2,140404,100190,0,1,4,3,2,2,4,18.12,7,0,2,-8,-8,1,4,1,4,4,-8,-8,-8,-8,-8,-8,3,1,1,1,2,1,2,1,1,2,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,3,10,8,5,5,35,1,5,1,2,1,4,1,2,1,1,7,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-8,-8,-8,-8,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,2,3,4,15,0,3,4,2,3,4,104264
2,0,0,1,2,147167,100191,0,4,4,4,4,2,3,20.37,30,0,2,-8,-8,1,4,1,4,1,-8,-8,-8,-8,-8,-8,2,1,1,1,1,1,2,2,2,2,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,15,3,1,1,40,1,1,2,2,2,5,2,2,2,1,30,4,1,4,5,4,1,1,1,1,1,1,1,1,1,1,1,3,4,1,3,4,1,-8,-8,-8,-8,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,0,15,0,3,3,2,5,4,100327
1,0,0,1,2,127699,100192,0,1,2,1,1,2,4,24.32,5,0,2,-8,-8,1,57,2,-8,-8,-8,-8,-8,-8,-8,-8,16,1,1,1,2,2,1,2,1,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,-8,-8,-8,1,-8,-8,-8,-8,40,4,4,2,2,1,2,2,2,1,2,5,2,1,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,3,2,-8,-8,-8,-8,2,2,1,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,2,5,16,4,0,3,3,1,3,4,109693
1,0,0,1,2,104162,100200,0,4,4,4,3,2,4,12.95,10,1,2,-8,-8,1,7,1,7,1,-8,-8,-8,-8,-8,-8,6,1,1,1,2,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,1,1,-8,-8,-8,-8,40,3,2,2,2,2,5,1,2,2,1,11,3,1,3,1,5,3,3,2,4,3,3,2,3,2,1,1,1,1,1,1,1,2,-8,-8,-8,-8,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,14,0,4,6,2,5,4,105764
3,0,0,2,2,148294,100208,0,4,3,3,2,2,4,24.16,30,0,2,-8,-8,1,19,1,4,1,1,-8,-8,-8,-8,-8,20,1,1,1,1,1,1,1,1,2,-8,-8,1,1,1,1,1,1,1,-8,-8,-8,-8,-8,-8,2,-8,-8,-8,-8,32,1,2,2,2,2,4,2,2,2,1,30,2,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,-8,-8,-8,-8,2,2,1,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,2,2,2,2,2,4,4,1,4,5,105177
1,0,0,2,2,107557,100220,0,3,1,1,3,2,1,24.19,0,7,2,-8,-8,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,48,1,3,1,1,1,1,2,1,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,1,1,-8,-8,-8,-8,14,2,4,2,2,2,1,2,2,2,2,7,3,1,4,1,5,4,4,2,4,3,5,2,2,2,5,1,1,3,1,1,3,2,-8,-8,-8,-8,2,2,1,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,1,0,0,6,0,4,4,1,4,4,106473
2,1,0,1,1,133114,100220,0,3,4,4,3,2,5,24.19,13,0,2,-8,-8,1,50,1,25,3,-8,-8,-8,-8,-8,-8,55,1,1,1,1,1,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,1,1,-8,-8,-8,-8,40,1,4,2,2,2,5,1,1,2,1,13,3,1,4,1,5,4,4,2,4,3,5,2,2,2,5,1,1,3,1,1,3,2,-8,-8,-8,-8,2,2,1,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,1,0,0,6,0,4,4,1,4,4,106473
2,0,0,1,2,120874,100224,0,4,3,3,4,2,3,14.43,25,0,2,-8,-8,1,4,1,4,1,-8,-8,-8,-8,-8,-8,32,1,1,1,2,1,2,2,1,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,2,-8,-8,-8,-8,40,1,4,2,2,2,4,2,2,2,1,25,3,1,3,2,3,3,3,2,2,2,2,2,2,2,2,1,1,4,1,1,4,2,-8,-8,-8,-8,2,2,1,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,3,4,5,9,0,4,4,2,4,3,107527
1,1,0,2,1,116655,100229,0,4,4,4,2,2,4,17.87,35,0,2,-8,-8,1,52,1,53,1,-8,-8,-8,-8,-8,-8,27,1,1,1,1,2,2,2,2,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,1,-8,-8,-8,-8,40,2,2,2,2,2,5,1,2,2,1,35,1,1,2,1,4,5,3,2,5,4,5,4,4,3,4,1,1,1,1,1,1,2,-8,-8,-8,-8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,2,0,8,30,0,4,6,1,5,4,110424
1,0,0,1,2,114732,100245,0,3,2,2,1,2,4,13.23,12,0,2,-8,-8,1,59,2,-8,-8,1,-8,-8,-8,-8,-8,32,1,1,1,2,1,2,2,1,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,38,3,3,2,2,2,3,2,2,2,2,12,2,1,2,1,5,2,3,2,2,2,2,2,5,2,2,1,1,2,1,1,2,2,-8,-8,-8,-8,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,3,3,0,14,0,5,3,1,4,4,102052
