file,component,feature_description,variable,variable_new_name,variable_description,type,EDA_category,Heatmap_category,Heatmap_includes
T2,Former Teacher,control number,CNTLNUM,CNTLNUM_T,Teacher control number,ID,-,-,N
T2,Former Teacher,control number,SCHCNTL,SCHCNTL,SASS school control number,ID,-,-,N
T2,Former Teacher,sector-public,SECTOR,SECTOR,SASS school sector,cat-nom-bi,-,-,N
T3,Current Teacher,control number,CNTLNUM,CNTLNUM_T,Teacher control number,ID,-,-,N
T3,Current Teacher,control number,SCHCNTL,SCHCNTL,SASS school control number,ID,-,-,N
T3,Current Teacher,sector-public,SECTOR,SECTOR,SASS school sector,cat-nom-bi,-,-,N
S4A,Public Teacher,control number,CNTLNUM,CNTLNUM_T,Teacher control number,ID,-,-,N
S4A,Public Teacher,control number,SCHCNTL,SCHCNTL,School control number,ID,-,-,N
S3A,Public School,control number,SCHCNTL,SCHCNTL,School control number,ID,-,-,N
S2A,Public Principal,control number,CNTLNUM,CNTLNUM_P,Principal control number,ID,-,-,N
S2A,Public Principal,control number,SCHCNTL,SCHCNTL,School control number,ID,-,-,N
S3A,Public School,region,REGION,region,Census Region,cat-nom,01-Basic,01-Public Teacher #1,Y
S3A,Public School,region,REGION,region,Census Region,cat-nom,01-Basic,01-Public Teacher #1,Y
S4A,Public Teacher,age,AGE_T,age_t,Teacher age,cat-ord,02-Public Teacher: General/Demographic,01-Public Teacher #1,Y
T2,Former Teacher,dependents,F0196,number_of_dependents,Number of dependents,num-disc,02-Public Teacher: General/Demographic,01-Public Teacher #1,Y
T3,Current Teacher,dependents,F0196,number_of_dependents,Number of dependents,num-disc,02-Public Teacher: General/Demographic,01-Public Teacher #1,DUP
T2,Former Teacher,dependents,F0197,dependents_under_age_5,Dependents under age 5,num-disc,02-Public Teacher: General/Demographic,01-Public Teacher #1,Y
T3,Current Teacher,dependents,F0197,dependents_under_age_5,Dependents under age 5,num-disc,02-Public Teacher: General/Demographic,01-Public Teacher #1,DUP
T2,Former Teacher,gender,GENDER,gender_t_Female,SASS respondent gender,cat-nom-bi,02-Public Teacher: General/Demographic,01-Public Teacher #1,Y
T3,Current Teacher,gender,GENDER,gender_t_Female,SASS respondent gender,cat-nom-bi,02-Public Teacher: General/Demographic,01-Public Teacher #1,DUP
T2,Former Teacher,marriage,F0195,marital_status_Married,Marital status,cat-nom,02-Public Teacher: General/Demographic,01-Public Teacher #1,Y
T3,Current Teacher,marriage,F0195,marital_status_Married,Marital status,cat-nom,02-Public Teacher: General/Demographic,01-Public Teacher #1,DUP
S4A,Public Teacher,pay,EARNALL,total_yearly_earnings,Total yearly earnings,cat-ord,02-Public Teacher: General/Demographic,01-Public Teacher #1,Y
S4A,Public Teacher,pay,EARNSCH,school_related_earnings,School-related earnings,cat-ord,02-Public Teacher: General/Demographic,01-Public Teacher #1,Y
S4A,Public Teacher,pay,T0341,summer_teaching_Yes,Summer- rec tchr pay,cat-nom-bi,02-Public Teacher: General/Demographic,01-Public Teacher #1,Y
S4A,Public Teacher,pay,T0343,nonteaching_job_Yes,Summer-rec oth pay from sch,cat-nom-bi,02-Public Teacher: General/Demographic,01-Public Teacher #1,Y
S4A,Public Teacher,pay,T0345,nonschool_job_Yes,Summer-rec nonsch pay,cat-nom-bi,02-Public Teacher: General/Demographic,01-Public Teacher #1,Y
S4A,Public Teacher,pay,T0347,base_salary_amt,Sch yr-amount tchr pay,cat-ord,02-Public Teacher: General/Demographic,01-Public Teacher #1,Y
S4A,Public Teacher,pay,T0348,extracur_act_Yes,Sch yr-rec oth sch pay,cat-nom-bi,02-Public Teacher: General/Demographic,01-Public Teacher #1,Y
S4A,Public Teacher,pay,T0350,merit_pay_Yes,Sch yr-rec sch bonus,cat-nom-bi,02-Public Teacher: General/Demographic,01-Public Teacher #1,Y
S4A,Public Teacher,pay,T0352,outside_pay_Yes,Sch yr-rec outside pay,cat-nom-bi,02-Public Teacher: General/Demographic,01-Public Teacher #1,Y
S4A,Public Teacher,race/ethnicity,RACETH_T,race_teacher_White,Teacher race/ethnicity,cat-nom,02-Public Teacher: General/Demographic,01-Public Teacher #1,Y
S4A,Public Teacher,union,T0355,union_member_Yes,Union member,cat-nom-bi,02-Public Teacher: General/Demographic,01-Public Teacher #1,Y
S4A,Public Teacher,certification,T0103,main_field_cert_Yes,Cert-main field,cat-nom-bi,03-Public Teacher: Education and Training,02-Public Teacher #2,Y
S4A,Public Teacher,certification,T0104,main_tch_fields_cert_type_Regular,Cert type-main field,cat-nom,03-Public Teacher: Education and Training,02-Public Teacher #2,Y
S4A,Public Teacher,degree,T0070,BA_deg_Yes,Has bach degree,cat-nom-bi,03-Public Teacher: Education and Training,02-Public Teacher #2,Y
S4A,Public Teacher,degree,T0080,MA_deg_Yes,Has masters degree,cat-nom,03-Public Teacher: Education and Training,02-Public Teacher #2,Y
S4A,Public Teacher,degree,T0084,AA_deg_Yes,Has associate degree,cat-nom-bi,03-Public Teacher: Education and Training,02-Public Teacher #2,Y
S4A,Public Teacher,degree,T0087,BA2_deg_Yes,Has 2nd bach degree,cat-nom-bi,03-Public Teacher: Education and Training,02-Public Teacher #2,Y
S4A,Public Teacher,degree,T0090,MA2_deg_Yes,Has 2nd masters deg,cat-nom-bi,03-Public Teacher: Education and Training,02-Public Teacher #2,Y
S4A,Public Teacher,degree,T0093,EdS_deg_Yes,Has ed spec degree,cat-nom-bi,03-Public Teacher: Education and Training,02-Public Teacher #2,Y
S4A,Public Teacher,degree,T0096,Grad_cert_Yes,Has adv grad cert,cat-nom-bi,03-Public Teacher: Education and Training,02-Public Teacher #2,Y
S4A,Public Teacher,degree,T0099,Phd_deg_Yes,Has PhD,cat-nom-bi,03-Public Teacher: Education and Training,02-Public Teacher #2,Y
S4A,Public Teacher,degree,T0082,MA_grad_yr,Yr of masters degree,cat-ord,03-Public Teacher: Education and Training,02-Public Teacher #2,Y
S4A,Public Teacher,major,T0072,BA_major_code_STEM,Field for bach degree-code,cat-nom,03-Public Teacher: Education and Training,02-Public Teacher #2,Y
S4A,Public Teacher,major,T0081,MA_major_code_STEM,Field for masters degree-code,cat-nom,03-Public Teacher: Education and Training,02-Public Teacher #2,Y
S4A,Public Teacher,professional development,T0179,pd_release_t_Yes,Release time,cat-nom-bi,03-Public Teacher: Education and Training,02-Public Teacher #2,Y
S4A,Public Teacher,professional development,T0180,pd_schedule_t_Yes,Scheduled time,cat-nom-bi,03-Public Teacher: Education and Training,02-Public Teacher #2,Y
S4A,Public Teacher,professional development,T0181,pd_stipend_Yes,Stipend,cat-nom-bi,03-Public Teacher: Education and Training,02-Public Teacher #2,Y
S4A,Public Teacher,professional development,T0182,pd_tuition_r_Yes,Reimbursement for tuition,cat-nom-bi,03-Public Teacher: Education and Training,02-Public Teacher #2,Y
S4A,Public Teacher,professional development,T0183,pd_conference_r_Yes,Reimbursement-fees,cat-nom-bi,03-Public Teacher: Education and Training,02-Public Teacher #2,Y
S4A,Public Teacher,professional development,T0184,pd_travel_r_Yes,Reimbursement-expenses,cat-nom-bi,03-Public Teacher: Education and Training,02-Public Teacher #2,Y
S4A,Public Teacher,class organization,T0206,class_org,Class organization,cat-nom,04-Public Teacher: Teaching Experience,03-Public Teacher #3,Y
