CNTLNUM_T,SCHCNTL,CNTLNUM_P,label_Current,age_T,earnings_total,earnings_school,base_salary_T,num_dependents,dependents_age5,region_Midwest,region_Northeast,region_South,region_West,married,race_T_AIAN,race_T_Asian,race_T_Black,race_T_White,race_T_Hispanic,gender_T_Female,summer_teaching,nonteaching_job,nonschool_job,extracur_act,merit_pay,outside_pay,union_member,BA_major_STEM,MA_major_STEM,MA_grad_yr,field_cert_Regular,deg_T_MA,field_cert,deg_T_BA,deg_T_AA,deg_T_BA2,deg_T_MA2,deg_T_EdS,grad_cert,deg_T_Phd,pd_release_t,pd_schedule_t,pd_stipend,pd_tuition_r,pd_conference_r,pd_travel_r,would_be_tch,remain_teaching,field,hrs_tch_ELA,hrs_tch_math,hrs_tch_social,hrs_tch_science,hrs_in_school_wk,total_tch_yr,public_ft_exp,public_pt_exp,private_ft_exp,private_pt_exp,class_Departmentalized,class_Elementary,class_PullOut,class_Self,class_Team,field_same,full_time,teaches_ungraded,teaches_pk,teaches_k,teaches_1st,teaches_2nd,teaches_3rd,teaches_4th,teaches_5th,teaches_6th,teaches_7th,teaches_8th,teaches_9th,teaches_10th,teaches_11th,teaches_12th,new_teacher,private_exp,minority_students,minority_teachers,FRPL_eligible_pk,FRPL_eligible_k12,FRPL_approved_pk,FRPL_approved_k12,title_I_receive_number,stu_tch_ratio,vacnc_gen_elem,vacnc_spec_ed,vacnc_english,vacnc_soc_st,vacnc_comp_sci,vacnc_math,vacnc_biology,vacnc_phys_sci,vacnc_esl,vacnc_foreign_lang,vacnc_music_or_art,vacnc_vo_tech,type_Alternative,type_Elementary,type_Regular,type_Special,type_Voc_Tech,level_Combined,level_Elementary,level_Secondary,urbanicity_LargeCity,urbanicity_SmallTown,urbanicity_MidCity,FRPL_eligible,NLP_participate,title_I_reading,title_I_math,title_I_esl,title_I_receive,age_P,salary_P,yrs_P_this_sch,yrs_P_oth_schls,yrs_tch_before_P,yrs_tch_since_P,deg_P_Associate,deg_P_Bachelors,deg_P_Doctorate,deg_P_Edu,deg_P_Masters,race_P_AIAN,race_P_Asian,race_P_Black,race_P_White,race_P_Hispanic,gender_P_Female,incen_certification,incen_excellence,incen_prof_dev,incen_location,incen_reten,incen_reten_gen_elem,incen_reten_spec_ed,incen_reten_english,incen_reten_soc_studies,incen_reten_STEM_comp_sci,incen_reten_STEM_math,incen_reten_STEM_phys_sci,incen_reten_STEM_biology,incen_reten_esl,incen_reten_foreign_lang,incen_reten_music_art,incen_reten_voc_ed
143668,100019,101276,0,3,3,3,4,4,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,4,4,3,10,6,1,1,38,19,19,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,4,2,4,0,12.19,3,2,3,2,2,2,5,4,5,2,2,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,5,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1
147352,100029,103310,0,1,2,2,2,4,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,32,0,0,0,0,40,4,4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,2,1,2,1,2,0,14.79,1,1,3,3,1,3,1,4,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,4,3,0,0,18,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141414,100053,108866,0,3,4,3,4,4,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,16,0,0,0,0,40,16,16,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,1,1,1,1,0,13.98,1,4,3,3,1,4,4,4,4,5,4,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,2,3,2,0,13,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131108,100056,102684,0,3,4,2,3,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,2,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,5,5,36,0,0,0,0,40,8,8,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,2,1,2,1,2,0,16.0,2,4,5,4,2,4,2,2,2,5,5,4,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,2,0,0,7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139862,100062,104721,0,3,3,3,3,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,2,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,5,1,37,0,0,0,0,38,7,7,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,12.31,1,5,3,2,3,2,2,3,4,2,3,2,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,4,4,2,7,7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113644,100066,101808,0,4,4,4,5,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,2,2,3,5,0,5,0,43,29,25,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,1,2,1,2,0,14.83,3,5,3,3,3,3,3,3,3,3,3,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,4,5,9,3,17,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147701,100066,101808,0,2,3,3,5,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,4,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,3,5,35,0,0,0,0,40,8,8,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,1,2,1,2,0,14.83,3,5,3,3,3,3,3,3,3,3,3,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,4,5,9,3,17,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105407,100083,106781,0,1,1,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3,3,35,0,0,0,0,40,3,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,3,1,2,1,2,0,12.22,1,3,3,3,4,4,4,5,1,2,2,2,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,4,3,16,5,5,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126822,100083,106781,0,4,3,3,5,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,3,1,55,0,0,0,0,38,26,23,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,3,1,2,1,2,0,12.22,1,3,3,3,4,4,4,5,1,2,2,2,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,4,3,16,5,5,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100146,100092,107842,0,4,2,2,2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,23,0,0,0,0,40,30,30,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,2,1,2,0,19.15,1,1,2,2,2,2,5,2,1,5,2,2,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,4,4,1,6,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
