label_Current_Teacher,CNTLNUM_T,SCHCNTL,CNTLNUM_P,vacnc_difficult_STEM_Yes,number_of_dependents,region_Northeast,region_West,marital_status_Married,race_t_White,race_t_Black,race_t_Hispanic,gender_t_Female,summer_teaching_Yes,nonteaching_job_Yes,nonschool_job_Yes,extracur_act_Yes,merit_pay_Yes,union_member_Yes,BA_major_code_STEM,MA_major_code_STEM,main_tch_fields_cert_type_Regular,MA_deg_Yes,pd_time,pd_finance,remain_in_teaching,STEM_teaching_field,STEM_hours_taught,public_ft_exp,public_pt_exp,private_ft_exp,class_org,main_teaching_lastyr_Same_as_thisyr,ft_pt_status_FT,teaches_ungraded_Yes,teaches_7_to_12,new_teacher_Yes,percent_minority_students,FRPL_eligible_k_12_students,student_teacher_ratio,sch_type,level_Elementary,urbanicity,title_I_receive_students_Yes,age_p,salary,yrs_princpl_this_sch,yrs_princpl_oth_schls,yrs_tchng_before_princpl,yrs_tchng_since_princpl,deg_highest_P,race_p_Black,race_p_White,race_p_Hispanic,gender_p_Female,incentives_pay,incentives_recruit_NonSTEM
0,143668,100019,101276,1,4,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,4,0,7,19,0,0,3,1,1,0,0,0,4,4,12.19,1,1,3,1,1,1,0,0,5,0,3,0,0,0,1,1,1
0,147352,100029,103310,1,4,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,4,1,0,4,0,0,1,1,1,0,1,0,2,2,14.79,1,0,2,0,4,3,0,0,18,0,5,0,1,0,1,1,0
0,141414,100053,108866,1,4,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,16,0,0,1,1,1,0,1,0,3,1,13.98,1,1,2,0,2,3,2,0,13,0,4,0,1,0,1,1,0
0,131108,100056,102684,1,2,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,5,1,0,8,0,0,1,1,1,0,1,0,2,2,16.0,1,0,2,0,1,2,0,0,7,0,3,0,1,0,1,0,0
0,139862,100062,104721,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,7,0,0,1,1,1,0,1,0,1,1,12.31,1,0,3,0,4,4,2,7,7,0,3,0,1,0,1,0,0
0,113644,100066,101808,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,2,0,0,25,4,0,4,1,1,0,0,0,3,2,14.83,1,1,2,0,4,5,9,3,17,1,4,0,1,0,0,1,0
0,147701,100066,101808,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,5,1,0,8,0,0,1,1,1,0,1,0,3,2,14.83,1,1,2,0,4,5,9,3,17,1,4,0,1,0,0,1,0
0,105407,100083,106781,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,1,0,3,0,0,2,1,1,0,1,1,2,2,12.22,1,0,2,0,4,3,16,5,5,0,3,0,1,0,0,1,0
0,126822,100083,106781,1,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,23,0,3,1,1,1,0,1,0,2,2,12.22,1,0,2,0,4,3,16,5,5,0,3,0,1,0,0,1,0
0,100146,100092,107842,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,30,0,0,1,1,1,0,1,0,2,2,19.15,1,0,3,0,4,4,1,6,7,0,3,0,1,0,0,0,0
0,119017,100096,104075,0,5,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,5,1,0,1,1,1,0,0,0,2,2,17.19,1,1,2,1,5,4,3,0,23,0,4,0,1,0,1,1,0
0,145091,100099,104789,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,20,39,0,0,5,1,1,0,1,0,1,4,9.79,1,0,3,0,2,2,3,3,15,0,4,0,1,0,0,0,0
0,140146,100102,108634,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,2,0,0,27,0,0,4,1,1,0,1,0,3,2,15.78,1,0,1,0,4,4,2,3,24,1,3,0,1,0,1,1,1
0,120276,100136,100180,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,1,0,1,0,1,1,3,4,10.63,1,0,3,1,3,2,1,0,24,1,3,0,1,0,0,1,0
0,135020,100146,105412,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,3,0,11,12,0,0,3,0,1,0,0,0,3,4,16.27,1,1,2,1,4,3,3,0,15,0,3,1,0,0,1,1,0
0,133931,100154,105289,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,5,0,11,14,3,0,3,1,1,0,0,0,3,3,17.27,1,1,1,1,1,2,0,2,5,2,3,0,1,0,0,0,0
0,112411,100167,111208,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,2,1,0,4,0,1,0,0,1,2,3,14.25,1,1,1,0,4,3,10,1,18,0,3,0,1,0,0,1,0
0,147351,100174,104984,0,3,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,13,12,0,0,4,1,1,0,0,0,4,4,12.75,1,1,3,1,3,3,13,0,11,0,3,0,1,0,1,0,0
0,140404,100190,104264,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,5,0,13,7,0,0,3,1,1,0,0,0,1,1,18.12,1,1,2,0,3,4,3,4,15,0,3,0,1,0,1,0,0
0,147167,100191,100327,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,4,30,0,0,3,1,1,0,0,0,4,4,20.37,1,1,1,1,5,3,2,0,15,0,3,0,1,0,1,1,1
0,127699,100192,109693,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,4,1,0,5,0,0,1,1,1,0,1,0,2,3,24.32,1,0,2,0,3,3,5,16,4,0,3,0,1,0,0,1,0
0,104162,100200,105764,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,2,0,0,10,1,0,1,1,1,0,1,0,3,1,12.95,1,0,2,0,5,6,1,0,14,0,4,0,1,0,1,0,0
0,148294,100208,105177,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,2,0,0,30,0,0,2,1,0,0,0,0,2,2,24.16,1,1,2,0,4,4,2,2,2,2,4,0,0,1,0,1,0
0,107557,100220,106473,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,7,0,1,1,0,0,1,0,3,3,24.19,1,0,1,0,4,4,0,0,6,0,4,0,1,0,0,1,0
0,133114,100220,106473,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,4,0,0,13,0,0,1,1,1,0,1,0,3,3,24.19,1,0,1,0,4,4,0,0,6,0,4,0,1,0,0,1,0
0,120874,100224,107527,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,4,1,0,25,0,0,2,1,1,0,1,0,3,4,14.43,1,1,3,0,4,4,4,5,9,0,4,1,0,0,1,1,0
0,116655,100229,110424,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,2,0,0,35,0,0,1,1,0,0,1,0,1,1,17.87,1,0,2,0,5,6,0,8,30,0,4,0,1,0,0,0,0
0,114732,100245,102052,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,3,1,0,12,0,0,1,1,1,0,1,0,2,2,13.23,1,0,3,0,4,3,3,0,14,0,5,0,1,0,0,0,0
0,144804,100245,102052,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,3,0,0,1,0,0,1,0,0,0,1,1,2,2,13.23,1,0,3,0,4,3,3,0,14,0,5,0,1,0,0,0,0
